case,seed,branch_withdraw_sell_ETH,sell_pool_ETH,branch_withdraw_sell_ETH_tokens,branches_retired,licenses,license_internal_tokens,license_wallet_tokens,license_fresh_tokens,license_fresh_buy_ETH,buy_pool_ETH,game_prefund_ETH,external_capital_ETH,spec_buy_ETH,spec_sell_ETH,spec_sell_ETH_tokens,new_seller_activations,owner_spec_buy_ETH,owner_spec_sell_ETH,owner_spec_sell_ETH_tokens,buyback_ETH
Crowded bank-exit expectations,0,67.00261762913439,1573.6715854863025,764800.8343274386,417,56.0,71249.79233256323,4109.865258806767,41396.033257231116,1.6360146545768117,366.1971068795311,0.15882940553223784,734.27636908068,346.00188369643587,1281.5048065446647,25252341.167956557,2442,25.873789467465773,177.95401374797495,3480895.6785666794,0.0
Crowded bank-exit expectations,1,66.77388761471248,1409.30290661846,763860.1784678897,419,46.0,65630.1067185239,7845.656563876888,13286.573591656983,0.5700776775066441,247.39397969969406,0.0,727.542071917137,248.659759704361,1160.338441520078,21041541.575439543,2543,3.2129990463917166,139.9114902851233,2644336.40872307,0.0
Crowded bank-exit expectations,2,67.22965789920302,1418.6364249088792,765604.2514369562,416,46.0,60735.776235399426,2328.151395282835,22270.70620586723,0.9297787479457247,311.988069349007,0.7450557680800078,664.0571829622636,283.9515229651449,1092.4179364883244,19975323.268583413,2560,32.728815323938576,216.42973777412496,4082610.596847532,0.0
Crowded bank-exit expectations,3,67.41544432234897,1329.8807523466007,767967.7434005927,419,61.0,72588.12643786283,24107.536051546194,29988.323597073555,1.3455218842603522,274.4565155908355,0.6622310601057027,626.8997298306163,250.92971243800778,1012.8384965654135,18060617.327145252,2697,27.120203587866676,209.73038888846335,3754635.408630928,0.0
No branch expansion,0,46.01035664452628,1172.1533850252106,531586.191712024,28,0.0,0.0,0.0,0.0,0.0,901.5521828075225,0.0,744.8663083344534,833.418515267379,980.6076574191676,12661290.257442914,1148,86.53269167907278,110.37076941076197,1403220.1295344492,0.0
No branch expansion,1,50.90167802179332,994.6448559448002,587458.9104436836,38,0.0,0.0,0.0,0.0,0.0,990.0978173021533,0.0,774.9403115765932,979.2721046090725,762.9188617394464,10549019.627281906,1310,31.0317905972112,150.98497050521738,2209582.513533982,0.0
No branch expansion,2,47.982274240985596,1006.5431167440624,548982.6458154607,37,0.0,0.0,0.0,0.0,0.0,315.42769250674706,0.0,664.2837022294653,296.63405987860364,799.5832931804335,11584949.911704365,1442,25.230932475220005,128.78125582032368,1956287.1642534642,0.0
No branch expansion,3,50.88777930638156,1075.5802882801038,584581.7588330659,38,0.0,0.0,0.0,0.0,0.0,426.33553219716424,0.0,677.6010865656423,406.8203337669052,841.121428048232,12154068.08549365,1305,28.215923577139407,151.30367227708732,2211226.59579935,0.0
No new outside capital,0,46.36596867167819,966.3617832963207,519934.65485235956,27,70.0,60275.484381182316,818497.3759794486,649064.6378642246,56.344717017273645,294.5157334994981,83.31659324654778,0.0,121.08637593974652,713.845297215302,9855065.57364091,1512,39.77857246938945,177.15966391045123,2234833.5431013457,0.0
No new outside capital,1,46.772760756417256,1279.0902837240096,531319.24299468,39,97.0,83137.2597995387,1032742.3541101007,1225857.2994405814,88.70953673571266,335.1908877536864,84.32700174267407,0.0,147.43530885636713,1001.3819318228293,15199125.341298599,1554,21.559670781253015,192.56288263304646,2858054.56548873,0.0
No new outside capital,2,49.12075434889361,925.1817677581523,550162.3641109732,37,72.0,62380.81685361006,705528.9080571673,820248.1924175583,69.89121478807658,224.4349260333741,110.21623836890019,0.0,34.43112065034695,750.6588527914414,10154758.214417102,1537,14.476656838976373,97.64670758507226,1272422.1262782852,0.0
No new outside capital,3,51.771919157987064,1093.2285779542576,579959.6306629095,38,102.0,70599.91539764444,1338927.520889018,1082915.3982486464,79.82404640300247,354.4759110821822,131.04929116506366,0.0,122.6454156468457,889.8074139194152,12559665.282234427,1546,28.19136013425366,118.85238753823027,1633318.8642094578,0.0
