hours,elapsed_days,timestamp_utc,price_ETH,price_return,wallet_tokens,wallet_cash_ETH,branches,bank_pending,vault_ETH,hook_ETH,epoch_flow_ETH,branch_withdraw_sell_ETH,sell_pool_ETH,branch_withdraw_sell_ETH_tokens,branches_retired,licenses,license_internal_tokens,license_wallet_tokens,license_fresh_tokens,license_fresh_buy_ETH,buy_pool_ETH,game_prefund_ETH,external_capital_ETH,spec_buy_ETH,spec_sell_ETH,spec_sell_ETH_tokens,owner_spec_buy_ETH,new_seller_activations,owner_spec_sell_ETH,owner_spec_sell_ETH_tokens
7.25,0.3020833333333333,2026-09-16T10:12:33+00:00,0.00015424740574691633,0.6221097514606895,69551118.50529085,6305.3418605556235,1198,1518653.082356937,111.7189937774005,2380.415229884649,3082.0746907911657,0.0,5.533198662898939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.87414963915167,0.0,21.673349738056874,33.992456143013925,5.36720270301197,36676.222147189816,3.6342271622428792,3.0,0.0,0.0
7.5,0.3125,2026-09-16T10:27:33+00:00,0.00015478598382029433,0.6277735922268854,69595658.34115806,6306.017192321112,1198,1525944.7490236037,111.7189937774005,2381.058818321569,3089.2270579791975,0.0,9.871848672468786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.024215860501208,0.0,8.471287390440665,13.741648837246132,9.575693212294723,64709.7768697627,3.63,6.0,0.0,0.0
7.75,0.3229166666666667,2026-09-16T10:42:33+00:00,0.00015494997146034775,0.629498133062834,69608772.34501526,6319.984118125503,1198,1533236.4156902707,111.7189937774005,2381.5663490772777,3091.4645808748733,0.0,9.162544183817772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.400067079494418,0.0,16.711979455775925,11.382721509688178,8.887666671970496,59782.0514236943,0.2499999999999999,3.0,1.1863327426908654e-06,0.007970913543850296
8.0,0.3333333333333333,2026-09-16T10:57:33+00:00,0.00015549308507260476,0.6352096708506307,69653354.49506466,6318.011326829096,1198,1540528.0823569368,111.7189937774005,2382.2384683774076,3098.6656928870134,0.0,10.418110807376252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.61922281951572,0.0,5.900440015862165,17.350792907377485,10.105567483154964,67529.98219434396,0.6280058880467125,2.0,0.0,0.0
8.25,0.34375,2026-09-16T11:12:33+00:00,0.00015556893175722986,0.636007296237914,69659346.29076946,6339.716849672004,1198,1547819.7490236037,111.7189937774005,2382.4997933564673,3099.703777134413,0.0,4.763902723297633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.801986970697404,0.0,23.004932069367868,5.920394868058575,4.620985641598703,30961.272054472767,0.0,10.0,0.0,0.0
8.5,0.3541666666666667,2026-09-16T11:27:33+00:00,0.00015719173255753345,0.6530731327108448,69792246.20101881,6335.507335267672,1198,1555111.4156902703,111.7189937774005,2383.579640122868,3120.957195970069,0.0,12.81743834731833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.070857182974194,0.0,18.12375119772235,34.766180798953265,12.319985493386795,82419.20303527082,0.0,8.0,0.11292970351198164,748.4915825122202
8.75,0.3645833333333333,2026-09-16T11:42:33+00:00,0.0001533960873106083,0.6131570437607019,69471964.51801679,6413.5501686316,1198,1562403.0823569372,111.7189937774005,2385.8259800754095,3072.0290556137734,0.0,64.37198300840919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.44384265211368,0.0,31.361032960172704,15.759023114401714,53.88219413742687,361609.0056722029,0.0,5.0,8.558629380730055,57968.506976236415
9.0,0.375,2026-09-16T11:57:33+00:00,0.00015418833188450418,0.6214885138598936,69538480.5653556,6423.454494961971,1198,1569694.7490236033,111.7189937774005,2386.3532939059737,3082.4885757430648,0.0,6.226258124869673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.68577825416076,0.0,20.891160290228285,17.026304340980364,6.0394703221125665,40993.09524048872,0.0,6.0,5.901101758354343e-08,0.0003985456771925158
9.25,0.3854166666666667,2026-09-16T12:12:33+00:00,0.00015405816629405483,0.6201196553526784,69526819.9120881,6434.899899724469,1198,1576986.4156902703,111.7189937774005,2386.856373521873,3080.8892403001273,0.0,10.627626162759498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.028290719822643,0.0,10.349148935460114,9.212541550839433,10.066009663185506,68147.383691531,0.0,8.0,0.24278771469120783,1640.4438754547907
9.5,0.3958333333333333,2026-09-16T12:27:33+00:00,0.0001541837665355851,0.6214405033474015,69536330.14482197,6445.328684448303,1198,1584278.0823569368,111.7189937774005,2387.7169125160776,3082.7011074631937,0.0,16.337871883811204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.149739046878114,0.0,13.101190881106865,16.30908668449085,10.552487856584937,71174.64768121063,2.2110552000786488,13.0,5.295247870711933,35652.89953687769
9.75,0.40625,2026-09-16T12:42:33+00:00,0.00015179697639562683,0.5963403368845117,69331013.4899503,6476.181866559659,1198,1591569.7490236033,111.7189937774005,2388.6988768869346,3051.6243061381715,0.0,32.06196578825484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9851644632330805,0.0,0.7583451571907132,1.005269860441919,30.818089746311696,209771.07660975764,0.0,14.0,0.2820170682954995,1930.7235834382975
10.0,0.4166666666666667,2026-09-16T12:57:33+00:00,0.00015124301896168922,0.5905147623723628,69281729.60887353,6491.885155902464,1198,1598861.4156902705,111.7189937774005,2389.6401162152356,3044.5192559129905,0.0,21.54889769712554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.443847471944721,0.0,9.53947844592544,14.738619869331346,5.908017182401581,40629.11513928992,0.0,13.0,14.994413583810191,103241.48765802714
10.25,0.4270833333333333,2026-09-16T13:12:33+00:00,0.00015091768288649933,0.5870934353327797,69253122.01105317,6510.5201103170575,1198,1606153.0823569368,111.7189937774005,2389.84422559614,3040.2706892860906,0.0,5.769200927640213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5206343007399599,0.0,14.59049716859811,1.5516676538162855,5.482707501041495,37786.67031739116,0.0,6.0,0.11341739876951124,782.525524166816
10.5,0.4375,2026-09-16T13:27:33+00:00,0.00015192383461444054,0.597674414127459,69340062.00602934,6504.384512644077,1198,1613444.7490236037,111.7189937774005,2390.151378493916,3053.582403940593,0.0,0.7039584358249158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.015673090327946,0.0,7.483269879297908,11.418035484396862,0.6828396827501684,4695.930724067338,2.8836717506316543,6.0,0.0,0.0
10.75,0.4479166666666667,2026-09-16T13:42:33+00:00,0.00015187359996193044,0.5971461321813007,69335120.71127345,6532.748352934847,1198,1620736.4156902703,111.7189937774005,2390.608304599113,3053.0130741086723,0.0,9.295023881197721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.725694049277921,0.0,28.25143656404737,8.903769438038694,8.791461738910094,60331.44662394253,0.0,10.0,0.22471142585169673,1545.0164902248248
11.0,0.4583333333333333,2026-09-16T13:57:33+00:00,0.00015226730181750974,0.6012864132836695,69368758.81294915,6532.311013365211,1198,1628028.0823569368,111.7189937774005,2390.85266648987,3058.2355655493743,0.0,2.7332960349644964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.955787475666325,0.0,5.029513761821482,8.118150485373802,0.804780795323545,5509.445911593196,0.0,10.0,1.8465163585920163,12624.639828825164
11.25,0.46875,2026-09-16T14:12:33+00:00,0.00015250318803772638,0.6037670601133245,69388782.23979196,6538.313129888374,1198,1635319.7490236037,111.7189937774005,2391.051207477843,3061.3718180063283,0.0,2.668929535922871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.805181992876882,0.0,9.336909968089655,5.923655094772328,2.401849322373864,16393.059123393843,0.0,7.0,0.18701232747132054,1277.1262656340161
11.5,0.4791666666666667,2026-09-16T14:27:33+00:00,0.00015174193969797665,0.5957615552608322,69321833.554099,6557.256463548974,1198,1642611.41569027,111.7189937774005,2392.0572151593824,3051.570557642769,0.0,23.925359011731416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.124098648171572,0.0,10.148080978579927,14.412345559358744,23.20759824137947,158998.92599365677,0.0,6.0,0.0,0.0
11.75,0.4895833333333333,2026-09-16T14:42:33+00:00,0.0001517863902176268,0.5962290096146532,69325645.95700943,6572.975248708562,1198,1649903.0823569368,111.7189937774005,2392.0825131933043,3052.1603296189214,0.0,0.2630897514509343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8528617276036624,0.0,16.333855169663128,0.8702670689833291,0.25519705600317133,1750.8882274715236,0.0,3.0,2.904234861489385e-09,1.992728385962582e-05
12.0,0.5,2026-09-16T14:57:33+00:00,0.0001517150997487555,0.5954792986928885,69319242.85076883,6578.382178945294,1198,1657194.7490236035,111.7189937774005,2392.26085153411,3051.258090068486,0.0,3.9031652833600674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.000925732924246,0.0,4.683029027102946,3.0621691152288224,3.015220885492436,20690.755539722253,0.0,14.0,0.7708494393668298,5290.86895642789
12.25,0.5104166666666666,2026-09-16T15:12:33+00:00,0.00015106696499706586,0.5886633286226928,69262009.74565381,6601.487720921729,1198,1664486.41569027,111.7189937774005,2392.982295494726,3042.8656891711257,0.0,17.7097793390858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.317378441726014,0.0,15.434585039691683,6.373857271537747,12.50629892287491,86163.09824858041,3.1336717506316543,9.0,4.672187036038313,32063.684071219777
12.5,0.5208333333333334,2026-09-16T15:27:33+00:00,0.00015180721583952253,0.5964480177995477,69325808.55378065,6602.045566825672,1198,1671778.0823569372,111.7189937774005,2393.3256718693738,3052.682345347411,0.0,2.8375652556746895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.654221431959991,0.0,10.71787845487643,10.028799098307111,2.510482918159368,17250.524221284635,2.8836717506316543,4.0,0.24195537984508064,1659.6578056487908
12.75,0.53125,2026-09-16T15:42:33+00:00,0.0001521245916473621,0.599785632395277,69353070.03340684,6607.786749449604,1198,1679069.7490236033,111.7189937774005,2393.4336841643544,3056.8760420853077,0.0,0.4449010996568177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6385978375533234,0.0,10.042891656809193,4.733263099544208,0.42392115996139634,2907.3809593879478,0.0,7.0,0.007632906705716778,52.25129902996539
