hours,elapsed_days,timestamp_utc,price_ETH,price_return,wallet_tokens,wallet_cash_ETH,branches,bank_pending,vault_ETH,hook_ETH,epoch_flow_ETH,branch_withdraw_sell_ETH,sell_pool_ETH,branch_withdraw_sell_ETH_tokens,branches_retired,external_capital_ETH,spec_sell_ETH,spec_sell_ETH_tokens,new_seller_activations,owner_spec_sell_ETH,owner_spec_sell_ETH_tokens,spec_buy_ETH,buy_pool_ETH,owner_spec_buy_ETH,licenses,license_internal_tokens,license_wallet_tokens,license_fresh_tokens,license_fresh_buy_ETH,game_prefund_ETH
5.0,0.20833333333333334,2026-09-16T07:57:33+00:00,6.293997940610563e-05,-0.33810520924485643,54592174.48007971,7663.977625317336,765,611985.8872810537,111.7189937774005,2379.6173175255512,1486.8168338683586,0.0,10.566715144353793,0.0,0.0,13.461081183673116,8.995662511980251,148354.9074793359,36.0,1.2540511780429324,20623.7385477416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.25,0.21875,2026-09-16T08:12:33+00:00,6.117057485061822e-05,-0.35671277265791224,53919256.14650531,7712.399064051157,761,615823.90024088,111.7189937774005,2380.860432381534,1445.3796720022376,0.09271637029447674,41.43716186612096,1534.0407960716425,4.0,8.2273917236835,39.98077285084978,670913.2830908477,28.0,0.12055778899308052,2005.050483553001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.5,0.22916666666666666,2026-09-16T08:27:33+00:00,6.0836543765733855e-05,-0.3602255389015854,53806435.19804901,7725.521734142358,761,623115.5669075466,111.7189937774005,2381.0648412542364,1438.566042912169,0.0,6.813629090068616,0.0,0.0,6.513449873833709,4.733036579980182,80815.34278769193,22.0,1.8761836373863754,32005.60566861117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.75,0.23958333333333334,2026-09-16T08:42:33+00:00,5.90908244648598e-05,-0.378584021415756,53201464.276738,7764.490206094373,761,630407.2335742132,111.7189937774005,2382.14213425945,1402.6562760717168,0.0,35.90976684045222,0.0,0.0,4.1359981167777375,29.011042443706874,503248.38553530077,38.0,5.821431391531789,101722.53577569465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.25,2026-09-16T08:57:33+00:00,5.869094453138825e-05,-0.3827892729488802,53059124.87894124,7782.022150146235,761,637698.90024088,111.7189937774005,2382.3910928677533,1394.3576557949432,0.0,8.29862027677359,0.0,0.0,9.482282383391434,7.252909963205539,128280.39661632216,37.0,0.7967517052648417,14059.001180446523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.25,0.2604166666666667,2026-09-16T09:12:33+00:00,5.592563755461826e-05,-0.41187003052194915,52036154.83953866,7849.333979725059,754,638678.3855793582,111.7189937774005,2384.1364506458885,1336.1790631904826,0.15606113970502972,58.17859260446062,2769.142991327348,7.0,10.878594752497165,56.2653559157741,1022750.1900038479,39.0,0.011817770847669636,219.8493987306865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.5,0.2708333333333333,2026-09-16T09:27:33+00:00,5.505794928951561e-05,-0.4209948880145955,51698486.26020595,7874.073557153792,754,645970.0522460248,111.7189937774005,2384.692947338496,1317.6291734368535,0.0,18.54988975362903,0.0,0.0,6.746184367712188,3.7375756063696444,70167.91598980536,22.0,14.255817454650517,267500.66334291524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.75,0.28125,2026-09-16T09:42:33+00:00,5.469144156407126e-05,-0.4248491878814239,51553448.37698428,7887.933985873629,754,653261.7189126915,111.7189937774005,2384.9293256375236,1309.749896802539,0.0,7.879276634314465,0.0,0.0,6.2175303845536245,7.08308880257112,134421.3361901955,26.0,0.5598095327139071,10616.547031468217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.2916666666666667,2026-09-16T09:57:33+00:00,5.4213396538332515e-05,-0.4298764458384259,51362066.088692926,7903.461158834971,754,660553.3855793581,111.7189937774005,2385.2388331439006,1299.4329799232592,0.0,10.316916879279916,0.0,0.0,5.519763588438716,9.84183712456528,188228.26676642898,40.0,0.1655722483362365,3154.0215249274424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.25,0.3020833333333333,2026-09-16T10:12:33+00:00,5.340804024407792e-05,-0.43834580253188027,51034671.20720039,7933.599523281449,752,665964.2067029702,111.7189937774005,2385.7633586700026,1281.9487957198178,0.042503645269021034,17.484184203441373,816.4333692997649,2.0,13.178705769140336,15.330312490481761,296562.792343915,30.0,1.5868425415873482,30832.089148615727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.5,0.3125,2026-09-16T10:27:33+00:00,5.293490008134026e-05,-0.4433214795493836,50838372.08034843,7944.636959390797,752,673255.8733696371,111.7189937774005,2386.0733497514043,1271.6157596731045,0.0,10.333036046713232,0.0,0.0,1.0143911440354167,5.315434559908028,104028.29518091866,30.0,4.707610405403806,92270.83167104107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.75,0.3229166666666667,2026-09-16T10:42:33+00:00,5.2554256218678115e-05,-0.4473244390706025,50678529.17998525,7957.978140016043,752,680547.5400363037,111.7189937774005,2386.323744257871,1263.2692761241935,0.0,8.34648354891101,0.0,0.0,5.245091582802478,5.700065447541066,112459.91006535306,33.0,2.3960235949026125,47382.99029782976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
