hours,elapsed_days,timestamp_utc,price_ETH,price_return,wallet_tokens,wallet_cash_ETH,branches,bank_pending,vault_ETH,hook_ETH,epoch_flow_ETH,branch_withdraw_sell_ETH,sell_pool_ETH,branch_withdraw_sell_ETH_tokens,branches_retired,licenses,license_internal_tokens,license_wallet_tokens,license_fresh_tokens,license_fresh_buy_ETH,buy_pool_ETH,game_prefund_ETH,external_capital_ETH,spec_buy_ETH,spec_sell_ETH,spec_sell_ETH_tokens,new_seller_activations,owner_spec_buy_ETH,owner_spec_sell_ETH,owner_spec_sell_ETH_tokens
8.75,0.3645833333333333,2026-09-16T11:42:33+00:00,7.215704292299607e-05,-0.24117593812886917,56771541.78444056,7548.802154132828,1164,985431.1357814302,111.7189937774005,2382.142293175299,1698.2033781887635,0.0,63.3001575719868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.468984571474802,0.0,60.80407561531528,860182.3400076792,18.0,0.0,0.5970772295118854,8612.826473661475
9.0,0.375,2026-09-16T11:57:33+00:00,7.206105504286401e-05,-0.24218537407776108,56741950.36327418,7557.960138041418,1164,992722.8024480963,111.7189937774005,2382.2056672956414,1696.0909075106863,0.0,2.112470678077216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.108887350854575,0.0,2.045728296372404,29542.768157916547,24.0,0.0,0.003368261362495559,48.65300846200823
9.25,0.3854166666666667,2026-09-16T12:12:33+00:00,7.173361036001185e-05,-0.24562887583745963,56640558.259088956,7565.831903548124,1164,1000014.4691147632,111.7189937774005,2382.422174443172,1688.8740025929512,0.0,7.216904917735064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8713677365028178,0.0,6.956236395269334,100751.41683426604,26.0,0.0,0.04416137493367614,640.6873509582337
9.5,0.3958333333333333,2026-09-16T12:27:33+00:00,7.144813143602951e-05,-0.24863105369702154,56551589.16173214,7577.132645072244,1164,1007306.13578143,111.7189937774005,2382.6125544094493,1682.568817170371,0.0,6.329475210592818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024289788012613507,0.0,5.185936067816779,0.0247854979720546,6.13938112875923,89302.05928780568,19.0,0.0,0.000209825515803459,3.055203352106548
9.75,0.40625,2026-09-16T12:42:33+00:00,7.019210338099227e-05,-0.26183980327902134,56153122.04319325,7609.338553972877,1164,1014597.8024480963,111.7189937774005,2383.6715670311787,1654.7206303953524,0.0,32.28332195941357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.435135184394883,0.0,5.416734747343513,4.525648147341718,2.086328544007205,30453.56503685027,29.0,0.0,29.228493756623955,429664.16355816205
10.0,0.4166666666666667,2026-09-16T12:57:33+00:00,6.997121503894909e-05,-0.264162728140397,56082041.7348143,7618.306401339755,1164,1021889.469114763,111.7189937774005,2383.823647847028,1649.7906766670794,0.0,5.0129205282728435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0829668,0.0,4.18997445445467,0.08466,4.8620301697043535,72245.99013263073,26.0,0.0,0.0005027427203049228,7.477693794586347
10.25,0.4270833333333333,2026-09-16T13:12:33+00:00,6.959852517843882e-05,-0.2680820411043774,55961331.50108385,7637.026143013396,1164,1029181.1357814297,111.7189937774005,2384.0860233605013,1641.4560721779103,0.0,8.579354109061796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24474961989278007,0.0,10.647512697944462,0.24974451009467352,8.321972387316034,124190.61806209442,21.0,0.0,1.098473903766717e-06,0.0164345746941324
10.5,0.4375,2026-09-16T13:27:33+00:00,6.926773875373359e-05,-0.2715606855753616,55853130.82010876,7648.474537023449,1164,1036472.8024480967,111.7189937774005,2384.4058050066897,1634.0570839716524,0.0,9.339388206257809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9404,0.0,4.369187449982876,0.0,7.706397041165777,115560.34248525389,18.0,1.98,1.3528095189042961,20252.208901414084
10.75,0.4479166666666667,2026-09-16T13:42:33+00:00,6.912481960612262e-05,-0.27306366413041483,55806206.57572509,7661.200617204338,1164,1043764.4691147628,111.7189937774005,2384.521716432231,1630.850350672204,0.0,3.5977300206302516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.390996721181729,0.0,9.635258306982477,0.39897624610380517,1.3500588765243788,20316.826403359802,16.0,0.0,2.1397392434869653,32197.77817295175
11.0,0.4583333333333333,2026-09-16T13:57:33+00:00,6.8834483536789e-05,-0.2761169211170481,55710459.20689605,7668.702740204456,1164,1051056.1357814297,111.7189937774005,2384.7525173354666,1624.3256249302601,0.0,7.220230769416958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.695505027473102,0.0,1.2081981614083361,0.7096990076256143,7.003623791784766,105719.41434583957,18.0,0.0,5.45496823178837e-08,0.0008217287347066193
