hour,event,charter_id,count,gross_tokens,resolution_fee,price_tokens,internal_tokens,wallet_tokens,fresh_tokens,elapsed_days,timestamp_utc
21.0,license,940,,,,22628.81850251414,1282.687755486838,21346.130747027302,0.0,0.875,2026-09-17T02:40:47+00:00
21.0,license,784,,,,22628.81850251414,1282.687755486838,21346.130747027302,0.0,0.875,2026-09-17T02:40:47+00:00
21.0,license,750,,,,22628.81850251414,1282.687755486838,21346.130747027302,0.0,0.875,2026-09-17T02:40:47+00:00
21.0,license,611,,,,22628.81850251414,1282.687755486838,21346.130747027302,0.0,0.875,2026-09-17T02:40:47+00:00
21.0,license,987,,,,22628.81850251414,1282.687755486838,21346.130747027302,0.0,0.875,2026-09-17T02:40:47+00:00
21.0,license,647,,,,22628.81850251414,1282.687755486838,21346.130747027302,0.0,0.875,2026-09-17T02:40:47+00:00
21.0,license,52,,,,22628.81850251414,1282.687755486838,20864.13312902939,481.9976179972291,0.875,2026-09-17T02:40:47+00:00
21.0,license,694,,,,22628.81850251414,1282.687755486838,10302.65889547208,11043.471851557493,0.875,2026-09-17T02:40:47+00:00
21.0,license,110,,,,22628.81850251414,1282.687755486838,9204.990677489068,12141.140069536865,0.875,2026-09-17T02:40:47+00:00
21.0,license,942,,,,22628.81850251414,1282.687755486838,6910.032982918857,14436.097764112055,0.875,2026-09-17T02:40:47+00:00
21.0,license,473,,,,22628.81850251414,1282.687755486838,673.437293519446,20672.693453498185,0.875,2026-09-17T02:40:47+00:00
21.0,license,342,,,,22628.81850251414,1282.687755486838,5.249918679768143,21340.880828350782,0.875,2026-09-17T02:40:47+00:00
21.0,license,730,,,,22628.81850251414,1282.687755486838,0.0,21346.130747035146,0.875,2026-09-17T02:40:47+00:00
21.0,license,788,,,,22628.81850251414,1282.687755486838,0.0,21346.130747027695,0.875,2026-09-17T02:40:47+00:00
21.0,license,149,,,,22628.81850251414,1282.687755486838,0.0,21346.130747027695,0.875,2026-09-17T02:40:47+00:00
21.0,license,676,,,,22628.81850251414,1282.687755486838,0.0,21346.130747027695,0.875,2026-09-17T02:40:47+00:00
21.0,license,147,,,,22628.81850251414,1282.687755486838,0.0,21346.130747035146,0.875,2026-09-17T02:40:47+00:00
21.0,license,526,,,,22628.81850251414,1282.687755486838,0.0,21346.130747020245,0.875,2026-09-17T02:40:47+00:00
21.0,license,842,,,,22628.81850251414,1282.687755486838,0.0,21346.130747035146,0.875,2026-09-17T02:40:47+00:00
21.0,license,805,,,,22628.81850251414,1282.687755486838,0.0,21346.130747035146,0.875,2026-09-17T02:40:47+00:00
