hours,elapsed_days,timestamp_utc,price_ETH,price_return,wallet_tokens,wallet_cash_ETH,branches,bank_pending,vault_ETH,hook_ETH,epoch_flow_ETH,branch_withdraw_sell_ETH,sell_pool_ETH,branch_withdraw_sell_ETH_tokens,branches_retired,game_prefund_ETH,buy_pool_ETH,external_capital_ETH,spec_sell_ETH,spec_sell_ETH_tokens,new_seller_activations,spec_buy_ETH,buyback_ETH,owner_spec_sell_ETH,owner_spec_sell_ETH_tokens,owner_spec_buy_ETH,licenses,license_internal_tokens,license_wallet_tokens,license_fresh_tokens,license_fresh_buy_ETH
6.75,0.28125,2026-09-16T12:25:47+00:00,9.776048495627888e-05,-0.05808483933992448,62486945.1313712,7268.712617526695,1170,1181023.0687168322,66.52894083137605,2387.1616795489763,2222.0981452222886,0.0,17.275062610863642,0.0,0.0,0.0,0.19374588337208712,41.859140830259655,16.75681073253774,177688.36621538587,14.0,0.19769988099192562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.2916666666666667,2026-09-16T12:40:47+00:00,9.74436069177336e-05,-0.06113793618901964,62424327.81246486,7275.509076201388,1170,1188314.735383499,66.52894083137605,2387.3431931893747,2216.047690542265,0.0,6.050454680023449,0.0,0.0,0.0,0.0,0.9275176350713581,4.5233792440825935,48272.86144499964,13.0,0.0,0.0,1.3455617955401522,14344.45746133662,0.0,0.0,0.0,0.0,0.0,0.0
7.25,0.3020833333333333,2026-09-16T12:55:47+00:00,9.675122944812198e-05,-0.06780894273955285,62233927.351227194,7297.7038101984135,1169,1182792.3326133904,60.276083523414805,2388.0520215399474,2202.862804971627,1.0156695822768642,19.39978734763872,10857.111257190161,1.0,0.0,6.214901777000661,3.46581946899789,17.441286745448885,187394.13532275055,9.0,0.08887919918228959,6.252857307961243,0.36083739948381666,3891.7383537524415,0.0,0.0,0.0,0.0,0.0,0.0
7.5,0.3125,2026-09-16T13:10:47+00:00,9.597953656306982e-05,-0.07524414754780662,62078609.25017132,7320.417499362122,1169,1190083.9992800574,60.276083523414805,2388.517904047422,2188.053823237003,0.0,15.237742753399287,0.0,0.0,0.0,0.42876101877513145,8.370589936558876,13.838296382657102,149486.79684584093,10.0,0.4375112436480933,0.0,0.9423140881402106,10218.07015475406,0.0,0.0,0.0,0.0,0.0,0.0
7.75,0.3229166666666667,2026-09-16T13:25:47+00:00,9.556011770004319e-05,-0.07928521778112507,61993429.35734743,7378.7877553959115,1169,1197375.6659467241,60.276083523414805,2388.7601860758027,2179.9777556242757,0.0,8.076067612727456,0.0,0.0,0.0,0.0,50.536470449444295,6.961240180639144,75686.2162564772,11.0,0.0,0.0,0.8725454037064901,9493.67656741229,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.3333333333333333,2026-09-16T13:40:47+00:00,9.55328227235217e-05,-0.0795482028942508,61987866.58043085,7380.180470321011,1169,1204667.3326133909,60.276083523414805,2388.7759717354998,2179.4515669676794,0.0,0.5261886565963323,0.0,0.0,0.0,0.0,0.8823119282018992,0.5104029968984424,5562.776916583083,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.25,0.34375,2026-09-16T13:55:47+00:00,9.563687357512313e-05,-0.07854568050857713,61952946.582837716,7427.305628060811,1168,1205141.2130210786,54.24847517107332,2389.0117992275705,2181.5161123188764,0.5274832128069602,3.842510834097538,5750.60081956037,1.0,0.0,5.907056185294651,43.39792223072435,2.8276266553620903,30856.036706740848,10.0,0.0,6.02760835234148,0.3721256409055604,4063.9608863854846,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.3541666666666667,2026-09-16T14:10:47+00:00,9.472436420020184e-05,-0.08733764195258198,61765903.08888292,7448.367293751498,1168,1212432.8796877456,54.24847517107332,2389.5415288783333,2163.891823244481,0.0,17.644146543209445,0.0,0.0,0.0,0.019857468814343908,3.9671062670542594,16.756351284688037,183343.47272110794,15.0,0.020262723279942767,0.0,0.35847086222512187,3907.5320659332583,0.0,0.0,0.0,0.0,0.0,0.0
8.75,0.3645833333333333,2026-09-16T14:25:47+00:00,9.343337743043182e-05,-0.09977620556242683,61496470.101260096,7476.486536442366,1168,1219724.546354412,54.24847517107332,2390.36757086153,2138.827090471279,0.0,26.534732773201995,0.0,0.0,0.0,1.4699999999999998,3.880551900862514,25.738690790005936,284790.96327189927,10.0,1.4999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.375,2026-09-16T14:40:47+00:00,9.278986109664486e-05,-0.10597643862384643,61360136.2939454,7530.093264497631,1168,1227016.2130210786,54.24847517107332,2390.744588155374,2126.2598473431135,0.0,12.5672431281655,0.0,0.0,0.0,0.0,41.41650222094437,10.349342547336967,115757.08503822614,16.0,0.0,0.0,1.840883286983567,20576.72227646206,0.0,0.0,0.0,0.0,0.0,0.0
9.25,0.3854166666666667,2026-09-16T14:55:47+00:00,9.252666722377284e-05,-0.10851229244210292,61274620.37807241,7560.921413597118,1164,1200332.6200735378,48.82362765396599,2391.1655582515723,2121.160426381356,2.5105862828449608,10.415771528522782,28195.345415997115,4.0,0.0,5.316350566765186,20.724850716818644,4.366883969056402,49222.52462910385,11.0,0.0,5.424847517107333,3.225828130765735,36293.39124389289,0.0,0.0,0.0,0.0,0.0,0.0
