hours,elapsed_days,timestamp_utc,price_ETH,price_return,wallet_tokens,wallet_cash_ETH,branches,bank_pending,vault_ETH,hook_ETH,epoch_flow_ETH,branch_withdraw_sell_ETH,sell_pool_ETH,branch_withdraw_sell_ETH_tokens,branches_retired,external_capital_ETH,spec_sell_ETH,spec_sell_ETH_tokens,new_seller_activations,owner_spec_sell_ETH,owner_spec_sell_ETH_tokens,spec_buy_ETH,buy_pool_ETH,owner_spec_buy_ETH,game_prefund_ETH
7.5,0.3125,2026-09-16T13:10:47+00:00,7.246706887951781e-05,-0.30178506319048526,57052855.1175769,7743.37390433518,775,698899.4134591413,111.7189937774005,2394.8025974489747,1702.9638983492573,0.0,9.238140640431993,0.0,0.0,6.294718459079822,8.68497156496039,124440.3108533624,31.0,0.2760248562586412,3957.4248726608753,0.0,0.0,0.0,0.0
7.75,0.3229166666666667,2026-09-16T13:25:47+00:00,7.13131555264485e-05,-0.31290293440225514,56693248.21321194,7772.166136938825,775,706191.0801258078,111.7189937774005,2395.57038248846,1677.3710636996905,0.0,25.59283464956684,0.0,0.0,3.967182993565243,24.49445458717966,354844.7383734246,13.0,0.3305950229001746,4762.165991531147,0.0,0.0,0.0,0.0
8.0,0.3333333333333333,2026-09-16T13:40:47+00:00,7.108858060237311e-05,-0.31506669745831306,56622245.4770354,7781.3063665075515,775,713482.7467924746,111.7189937774005,2395.7205293583297,1672.3661680373123,0.0,5.004895662378203,0.0,0.0,4.285480776220236,4.579068799403568,66969.57935014198,20.0,0.27567999310328783,4033.15682640056,0.0,0.0,0.0,0.0
8.25,0.34375,2026-09-16T13:55:47+00:00,7.063436434173907e-05,-0.31944303808613284,56478505.99347176,7794.475753431792,773,718692.6539662579,111.7189937774005,2396.0249370904153,1662.2192436344722,0.06153911731135167,10.146924402840114,901.473946497433,2.0,3.326870253484544,4.530343082906694,66637.65737117598,16.0,5.250634470536865,77101.82619246135,0.0,0.0,0.0,0.0
8.5,0.3541666666666667,2026-09-16T14:10:47+00:00,7.00064628749719e-05,-0.32549282303976923,56276252.46089575,7812.9206136086195,773,725984.3206329248,111.7189937774005,2396.4473426915565,1648.1390569297878,0.0,14.080186704684364,0.0,0.0,4.78707907328404,13.110701701333786,194169.47933535525,36.0,0.5470794022100426,8084.053240665345,0.0,0.0,0.0,0.0
8.75,0.3645833333333333,2026-09-16T14:25:47+00:00,6.894902234826371e-05,-0.3356811855877688,55929427.844404384,7839.100841615913,773,733275.9872995912,111.7189937774005,2397.1629908427185,1624.2841185576754,0.0,23.85493837211243,0.0,0.0,3.0409377863442892,20.530500187789873,307699.6671437488,21.0,2.60879003315918,39124.949347615446,0.0,0.0,0.0,0.0
9.0,0.375,2026-09-16T14:40:47+00:00,6.846083685255003e-05,-0.3403848173243822,55766624.573122844,7860.2122721715,773,740567.6539662579,111.7189937774005,2397.4951947487075,1613.2106550247017,0.0,11.07346353297362,0.0,0.0,10.370170928603903,10.708844387142104,162313.49020315916,25.0,0.03241523984230753,489.78107837941224,0.0,0.0,0.0,0.0
9.25,0.3854166666666667,2026-09-16T14:55:47+00:00,6.835647272722361e-05,-0.34139035807960594,55732985.9170817,7867.395830627332,770,744623.4860507796,111.7189937774005,2397.566366699641,1610.8382566603243,0.09147548363000851,2.372398364377432,1391.453654122672,3.0,4.8823320423848156,2.1217284337224926,32297.89470383024,21.0,0.08802249609360842,1340.761337314738,0.0,0.0,0.0,0.0
9.5,0.3958333333333333,2026-09-16T15:10:47+00:00,6.79563965873612e-05,-0.3452450625823843,55597952.464838445,7879.277188967808,770,751915.1527174464,111.7189937774005,2397.8397064626715,1601.726931225942,0.0,9.111325434382252,0.0,0.0,3.0433726691262244,2.843433986910071,43371.288639021994,21.0,5.9945516844407125,91662.16360423017,0.0,0.0,0.0,0.0
9.75,0.40625,2026-09-16T15:25:47+00:00,6.780525119783963e-05,-0.3467013374148783,55546627.1927177,7895.839440988536,770,759206.8193841131,111.7189937774005,2397.9431812507596,1598.2777716230219,0.0,3.44915960292019,0.0,0.0,13.216567205894222,3.318838383702695,50913.3898592504,27.0,0.026846431129890786,411.8822614927509,0.0,0.0,0.0,0.0
10.0,0.4166666666666667,2026-09-16T15:40:47+00:00,6.746089416547262e-05,-0.35001919237040013,55429048.47622664,7908.246618581159,770,766498.4860507797,111.7189937774005,2398.179361118802,1590.4051093548953,0.0,7.872662268126533,0.0,0.0,4.7706951925402885,5.40033760129679,83190.96433941046,21.0,2.2361447987859444,34387.75215165072,0.0,0.0,0.0,0.0
10.25,0.4270833333333333,2026-09-16T15:55:47+00:00,6.585063000936659e-05,-0.36553397037075575,54867093.787704624,7945.4324810792195,770,773790.1527174463,111.7189937774005,2399.2917689502056,1553.3248483080465,0.0,37.08026104684882,0.0,0.0,1.2180092826172302,34.96089183518518,546291.2657492326,22.0,1.0069613802581807,15663.422772785776,0.0,0.0,0.0,0.0
10.5,0.4375,2026-09-16T16:10:47+00:00,6.54409741798028e-05,-0.3694809744869023,54720852.99629733,8004.045601820046,770,781081.8193841132,111.7189937774005,2399.5768903555886,1543.82080146199,0.0,9.504046846056553,0.0,0.0,49.39419530015164,9.126357372960703,144767.9080737371,26.0,0.09256806771415767,1472.8833335472211,0.0,0.0,0.0,0.0
