case,seed,branch_withdraw_sell_ETH,sell_pool_ETH,branch_withdraw_sell_ETH_tokens,branches_retired,game_prefund_ETH,buy_pool_ETH,external_capital_ETH,spec_sell_ETH,spec_sell_ETH_tokens,new_seller_activations,spec_buy_ETH,owner_spec_sell_ETH,owner_spec_sell_ETH_tokens,owner_spec_buy_ETH,licenses,license_internal_tokens,license_wallet_tokens,license_fresh_tokens,license_fresh_buy_ETH,buyback_ETH
Crowded bank-exit expectations,1,73.9567136080677,1346.2763264881708,768835.3675964545,444.0,0.0,94.3383355636016,1049.143622934985,1030.2924086881108,16152191.848399049,1818,96.21410771796079,201.63891439734982,3294770.4580428842,0.0494999999999999,0.0,0.0,0.0,0.0,0.0,0.0
Crowded bank-exit expectations,2,73.59165128981758,1297.4003043206626,767952.5993586995,444.0,4.321522832004067,322.5368804475934,1212.9407049715585,916.8839746272483,14062083.776730772,1896,290.12583244697464,268.002669273974,3980102.893217518,26.66529674542294,7.0,9277.699672315923,1.9458657235709895e-05,140218.90720793605,8.006613738448223,0.0
Crowded bank-exit expectations,3,72.8136917886857,1591.4183798605934,770272.3359894509,455.0,0.0,515.1567901680381,958.5444209628264,1246.0259707942487,20378750.336187102,1820,435.30106172250896,224.8361658818503,4589572.467744363,70.92186697877789,17.0,16485.551491721162,20265.353059329675,376211.6020361781,19.44726534773133,0.0
No branch expansion,0,54.51898791524924,1602.3052888923764,577662.493514933,59.0,0.0,1288.3732503339706,816.2842400280985,1280.9675050700573,14653296.858372055,793,1022.9804419580355,218.74963724029718,2717470.6167893866,291.68614001540385,0.0,0.0,0.0,0.0,0.0,0.0
No branch expansion,1,49.817070557340635,889.4039660645485,513651.79368117405,47.0,0.0,1274.6277000790647,1176.6366408819501,690.3350598134119,8123858.637645993,917,1155.2089193796198,122.56971671186236,1516011.5380890816,145.43159090513677,0.0,0.0,0.0,0.0,0.0,0.0
No branch expansion,2,48.210172339303064,804.3227906160062,497520.07529319375,44.0,0.0,1065.0921493364688,1016.039071251988,542.9523581548635,6604646.620589595,898,933.8149357751893,189.03057640336107,2261769.426018883,153.01378803753408,0.0,0.0,0.0,0.0,0.0,0.0
No branch expansion,3,53.24506217059058,1897.2291192930336,555146.4414113797,61.0,0.0,1205.8553633393165,1098.2901500525388,1565.2378504301948,17649293.64721363,948,1058.1508658152552,221.8293331134505,2836897.700041365,172.31379065343182,0.0,0.0,0.0,0.0,0.0,0.0
No new outside capital,0,52.03266163111532,964.7053086814944,547316.9820291167,50.0,360.2997450174686,732.8284192279217,0.0,746.6884465940448,9311909.252960026,916,176.43037311156317,137.0430411958904,1912666.4646383226,144.48002777089175,100.0,86760.43561108774,1551897.1658469872,928048.7912234664,66.57395535305798,0.0
No new outside capital,1,51.32746546328856,924.9429447323098,531177.1070383118,49.0,101.22000100860208,263.71915722172287,0.0,619.9990831535922,7897675.84309386,990,84.36122693892482,225.8681077734598,2906134.8204273493,9.293606858729289,100.0,99593.1584796413,1028797.9457614904,1050363.5562443882,74.22634603223663,0.0
No new outside capital,2,50.346825307251024,931.2227097533289,523420.80018780736,49.0,161.59854780514738,399.8886812814372,0.0,724.2820858859171,8943402.58708499,1037,100.52334045371306,128.65711726756075,1657431.0285733824,91.67920546141745,100.0,95777.11260700677,1257624.6611397527,752199.4384143353,54.248581056698875,0.0
No new outside capital,3,47.752923519834795,980.5083863385526,498524.9310684692,42.0,329.46856325444304,749.5315094278113,0.0,569.2364883618314,7527587.992733773,935,245.79238231513906,334.10372286673106,4102870.6507654493,108.60390882095851,100.0,100096.84816245506,1252391.9467551862,1149267.501702182,80.96321645416542,0.0
