hours,elapsed_days,timestamp_utc,price_ETH,price_return,wallet_tokens,wallet_cash_ETH,branches,bank_pending,vault_ETH,hook_ETH,epoch_flow_ETH,branch_withdraw_sell_ETH,sell_pool_ETH,branch_withdraw_sell_ETH_tokens,branches_retired,game_prefund_ETH,buy_pool_ETH,external_capital_ETH,spec_buy_ETH,spec_sell_ETH,spec_sell_ETH_tokens,owner_spec_buy_ETH,new_seller_activations,owner_spec_sell_ETH,owner_spec_sell_ETH_tokens,licenses,license_internal_tokens,license_wallet_tokens,license_fresh_tokens,license_fresh_buy_ETH
8.5,0.3541666666666667,2026-09-16T14:10:47+00:00,0.00019423307071071775,0.8714215062026971,72664589.98291758,6393.932555946878,1198,1661383.1547586783,111.7189937774005,2410.2050861063444,3623.4353468671957,0.0,23.064649012253085,0.0,0.0,0.0,6.2353538642788875,4.8993218081165155,5.372605983958048,22.37270954188549,119448.95315867574,0.99,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.75,0.3645833333333333,2026-09-16T14:25:47+00:00,0.00019764803003558773,0.9043243908658722,72875743.57680549,6406.278353841607,1198,1668674.8214253448,111.7189937774005,2411.64186279222,3665.4578012924553,0.0,11.489717887690858,0.0,0.0,0.0,53.512172312952664,55.805029005866174,54.60425746219659,11.145026351060132,58820.55392174285,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.375,2026-09-16T14:40:47+00:00,0.00019770655052059522,0.9048882314816629,72878463.3911066,6419.219615137407,1198,1675966.4880920113,111.7189937774005,2412.5088599119085,3666.343210765987,0.0,16.84107262799853,0.0,0.0,0.0,17.726482101529232,14.693667889019265,18.03874704237677,16.335840449158574,86251.25270086878,0.0494999999999999,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.25,0.3854166666666667,2026-09-16T14:55:47+00:00,0.00019872559702578403,0.914706670425417,72940452.40776882,6410.895844425942,1198,1683258.1547586783,111.7189937774005,2412.899479778558,3678.809410620804,0.0,2.702094579336517,0.0,0.0,0.0,15.168294434153289,4.533049009999378,15.477851463421725,2.621031741956421,13792.068236005167,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.5,0.3958333333333333,2026-09-16T15:10:47+00:00,0.00019838014906748831,0.9113783044779349,72919046.27667075,6430.131432827813,1198,1690549.8214253446,111.7189937774005,2413.2109911223315,3674.67563690562,0.0,7.853372291524465,0.0,0.0,0.0,3.7195985763398522,15.413326030458952,3.7955087513671963,5.905278094986529,30941.80090786806,0.0,4.0,1.7124930277922021,8985.87678172831,0.0,0.0,0.0,0.0,0.0
9.75,0.40625,2026-09-16T15:25:47+00:00,0.00020162056416813708,0.9425994682385068,73113635.89016008,6442.780224882308,1198,1697841.4880920115,111.7189937774005,2414.351218425891,3714.120126707143,0.0,6.650464806850323,0.0,0.0,0.0,46.09495460837391,53.233509159579434,46.98616796772848,6.450950862644813,33413.64272138691,0.0494999999999999,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.4166666666666667,2026-09-16T15:40:47+00:00,0.00019879132080891703,0.9153399142946201,72941198.43493897,6485.44629055935,1198,1705133.154758678,111.7189937774005,2416.167817289822,3680.2595599925526,0.0,49.746522691158134,0.0,0.0,0.0,15.885955976567853,10.622097826382282,16.160659159763117,47.0604480849196,244847.44157460183,0.0494999999999999,6.0,1.1936789255038,6257.847149759397,0.0,0.0,0.0,0.0,0.0
10.25,0.4270833333333333,2026-09-16T15:55:47+00:00,0.00019854044542221886,0.9129227481945017,72923072.25607607,6500.497847730667,1198,1712424.8214253446,111.7189937774005,2418.950011338807,3677.76843734477,0.0,56.20187491824436,0.0,0.0,0.0,53.71075227046143,15.342628572518965,54.80689007189941,54.39521525681277,287703.4071621358,0.0,7.0,0.12060341388425513,631.2319914412593,0.0,0.0,0.0,0.0,0.0
10.5,0.4375,2026-09-16T16:10:47+00:00,0.00019860304057143371,0.913525847903506,72926463.63195223,6533.646158794378,1198,1719716.4880920113,111.7189937774005,2419.3785764990057,3678.6142335079153,0.0,8.159472342693789,0.0,0.0,0.0,9.005268505839291,34.42267238705202,9.139549495754377,7.878631807627391,41262.96163602811,0.0494999999999999,9.0,0.03605636478558154,189.09360034909548,0.0,0.0,0.0,0.0,0.0
10.75,0.4479166666666667,2026-09-16T16:25:47+00:00,0.00019886936176900658,0.9160918332677481,72941660.09950027,6539.530908879406,1198,1727008.1547586778,111.7189937774005,2420.4173605172846,3682.0548873087996,0.0,19.21447898574752,0.0,0.0,0.0,22.65513278663085,10.364187904190324,23.117482435337607,6.220269591983502,32569.45585298914,0.0,3.0,12.417775024191592,65054.91336082675,0.0,0.0,0.0,0.0,0.0
11.0,0.4583333333333333,2026-09-16T16:40:47+00:00,0.00018840900679698277,0.8153070740836907,72274428.80552706,6674.0960148214135,1198,1734299.8214253448,111.7189937774005,2424.5195766827296,3554.2970676500977,0.0,133.10381043137795,0.0,0.0,0.0,5.345990772675919,10.909502448750812,5.4550926251795095,11.974738566473373,62949.929095524385,0.0,6.0,117.13595755196324,631556.4722359749,0.0,0.0,0.0,0.0,0.0
11.25,0.46875,2026-09-16T16:55:47+00:00,0.00018574140920414042,0.7896049653394241,72110499.36995836,6768.0216164474805,1197,1726016.1619080768,111.7189937774005,2425.6542934852837,3521.170532885496,2.7556058226345113,35.922128781240644,15239.57899285012,1.0,0.0,2.7955940166401083,61.933783664018485,2.852646955755213,32.0888590951689,178664.15889881103,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.5,0.4791666666666667,2026-09-16T17:10:47+00:00,0.00018379897925048234,0.7708897940440993,71977470.30463701,6810.149367885537,1197,1733307.8285747438,111.7189937774005,2426.5936376457325,3496.920382963536,0.0,28.45263715947749,0.0,0.0,0.0,4.20248723751724,18.816945676544258,4.238752283180858,27.346823303250993,154072.4687442197,0.0494999999999999,4.0,0.25223474144217106,1415.114632424011,0.0,0.0,0.0,0.0,0.0
