charter_id,owner,ledger_used,wallet_used,new_tokens_needed
160,0xcab21d30dbbe7ef86618e1aea139f6c8a9b44c98,2080.0478501834386,27448.087693726186,0.0
508,0x78b1094269465e61b08fe6040db5cb754e85a159,2058.8174399217773,27469.318103987847,0.0
555,0xc2b2c36cf33d6cffb562c2ede97e1dcd721a2c1e,1784.3560629259775,27743.77948098365,0.0
686,0xa9076b5ba0aa393915cc4143653e7a01b96b5e12,1775.191868393355,27752.94367551627,0.0
618,0xc42dee9a2ca5f0d355657dc2e7da65d328aeef6b,1225.4492138871512,28302.686330022476,0.0
19,0x8738117428f539ce10eaa583354bb3a0158b628a,1225.4492138870512,28302.686330022574,0.0
27,0xd8b7350c83d334340d1cb8b03e6ad667ec2504ad,1225.4492138870512,28302.686330022574,0.0
46,0xfc3c962fad2c1cc77f1a0d46e7b8a2de79a21774,1225.4492138870512,28302.686330022574,0.0
60,0x00b1c364d7f1a23f4b54d48c25e2bddf23d4e27b,1225.4492138870512,28302.686330022574,0.0
112,0xe06ad0acb3956f98c9df77bd02cdfd4426b2208d,1225.4492138870512,28302.686330022574,0.0
125,0xa6c88571d0028f47adba983a7240bf12af94633e,1225.4492138870512,28302.686330022574,0.0
146,0x2bdf1a698d39a4358e2c162deacc038fadb8a9d5,1225.4492138870512,28302.686330022574,0.0
157,0x27ed385662b631074034889332cd38483ce59852,1225.4492138870512,28302.686330022574,0.0
167,0x602833282eea4ffe3f326f98eb11921cc03fd0c0,1225.4492138870512,28302.686330022574,0.0
179,0x2cad1eb8f08201306cfcdc7f3049c59fce76d908,1225.4492138870512,28302.686330022574,0.0
207,0x304856144a8cc390cd59c76f7df2dcd8174ba549,1225.4492138870512,28302.686330022574,0.0
210,0xeac0fbba47ea4d3fff69019527092568492f2450,1225.4492138870512,28302.686330022574,0.0
213,0xce6c2ae3b51aeff88d3bc32e3742db14df9fcb9a,1225.4492138870512,28302.686330022574,0.0
292,0x9b535d0e815a1118ac76a625a5ea11ce071b3590,1225.4492138870512,28302.686330022574,0.0
323,0xc11e4e2d66386679945d0509f6f0abe68f5e2db5,1225.4492138870512,28302.686330022574,0.0
331,0xfcc81831f4a866fc9555c3c918590739e12bfb70,1225.4492138870512,28302.686330022574,0.0
332,0xf24022ba0fea5926d30fba8fece6d7a852732989,1225.4492138870512,28302.686330022574,0.0
342,0x4a38e59616b6817a5be09f4c6aea3d90ca477c81,1225.4492138870512,28302.686330022574,0.0
379,0xd8576cd2b17b17ffa06846e415027e2de78501b7,1225.4492138870512,28302.686330022574,0.0
433,0x0f9a7a53b36daf1f52fe7a616ea4b25c532d2fd2,1225.4492138870512,28302.686330022574,0.0
452,0xabe0cdd036456fcc1b64d1ddb7aa3bdf7d5b98b1,1225.4492138870512,28302.686330022574,0.0
465,0x9eb42f017e793512e4734f8785de605c4cb3a24e,1225.4492138870512,28302.686330022574,0.0
