address,buy_ETH,tokens_bought,wallet_tokens,charter_count,strategy
0xba8c79d7754274ea438f83cad48718554be76f96,0.4046231168762785,3736.326014333136,3736.326014333136,0,recent_buyer
0x4900a41c086e7c14683a618ca67c18afbd35337d,0.4034160581030938,4211.101242412675,4211.101242412675,0,recent_buyer
0xa94fb35292b10e8172695e3bd7980b49191bebf1,0.4026093034365894,4199.877367916452,0.0,0,two_way
0x35db4d9df0e5c161bddb3c6b62bf44d1d160270a,0.4001928,3908.1288574475097,33577.76619592751,0,recent_buyer
0xbe0ca442d6b7d81e0faa7dbfd09331019f893f89,0.3987861066962431,3745.030735153266,68.606206035823,0,recent_buyer
0x6446b9817b282df1051ea8d0cff042847fb34600,0.39825705119445187,4124.052967597556,4124.052967597556,0,recent_buyer
0x514677b2ffdd0cb98bd5831897ffa986794620ce,0.335857274610827,3298.134310247892,0.0,0,two_way
0x23bf7a10f21ae365448c094b3ee3413d0d55740a,0.32271570074342504,3363.1743857786655,3000.0,0,recent_buyer
0xfe343dc8a41e57725ef407647f1bc4e0037a9452,0.3213870710960067,3155.490812869392,0.0,0,two_way
0xced113516647ea678d8ac70ddd24d22bd25b526b,0.3046346623793678,3155.1990794257526,21060.20723997184,0,recent_buyer
0x70062e892b027f0e26900a14f97a384e6d2ca0c2,0.294,3069.5312495165244,0.0,0,recent_buyer
0xf134e7f84a2cfc459c46432537a71db31cc50025,0.294,2678.7660918048905,0.0,0,recent_seller
0x660fa2c5350833408a20389957a97b586e0578b6,0.29303332065,2840.166704803212,2507.4752750907896,1,charter_owner
0xf3507e71c5c2deb5f56e9d5c88e4deb880033729,0.28461310880458024,2952.913733329078,2952.913733329078,0,recent_buyer
0x3205c07eb8d4f59fa709d64ca68c51d427094be4,0.2800315957301438,2608.693958496745,121644.7732837762,0,recent_buyer
0xdb93342558502d4f522e774eac55d71bff8e6130,0.2793,2616.178718331136,457.9478923067703,2,charter_owner
0x9a12a536ab0455949eeb3725b7a7ad10dc0ca7ea,0.2461391391181719,2587.107594353825,12498.0271931694,0,recent_buyer
0x3d12cd00dcbbe947552ae408020c475394dc8b6d,0.2452614074917623,2408.846715943497,0.0,0,two_way
0xbad991f744ff41f7b69c48288e3666cab201ef75,0.243775,2554.2000524886635,6994.29308104791,0,recent_buyer
0xcf251e0699333d73bcd58e931d5a12e8f2e7bdc7,0.24255,2250.290784880707,7383.651926166689,0,recent_buyer
0x588295adf8c8a80b055b9fcdf0b73ee863c6e97d,0.2425499999999999,2106.547851250542,0.0,0,two_way
0xdc6af65e8a9c5b02958e93ea1f9e5d54b5ce1262,0.2425377647126037,2381.087111625842,8848.302676389609,0,recent_buyer
0x7c2496e40e446016abe1fb670779e856656f64b5,0.234024,2227.4868195587296,2227.486819558729,0,recent_buyer
0x463c1d0dcd7634f2ac4cacc87f998be1108f6093,0.2276467113139178,2273.116339495792,5166.356179821928,0,recent_buyer
0x8ab83793cafe1f88d3c875187a70344c31652c22,0.2214422555200675,2062.190428596208,0.0,0,two_way
0x6b411c8aeb50813367bb16f4ee902cb8cc2691f4,0.2062489034324777,1902.4786283893493,2006.595938325007,0,recent_buyer
0x3f6163f2ac7d93d7928d4647098dbcd85f6435d1,0.2032412694238874,1830.114953397397,0.0,0,two_way
0xed67db030d30d7188007f4444d9101c85d31a372,0.2030687233922667,1905.8838747011007,7272.292215516619,0,recent_buyer
0xfef5e3e0e1639b0d28e1e52e19e03c4a79b613b8,0.2029893223283736,1873.9883411423552,2393.823209975345,0,recent_buyer
0xed3a9e617b7307abe3a5a4f14dbd6609b3fad027,0.2027268296196952,1849.4725139485515,44312.54251897699,0,recent_buyer
0x86a0b3763fdd594bdb77cf7b3dbd82f67abc5409,0.1978695618251404,1926.966804338993,53118.82664875876,0,recent_buyer
0x24d721bbd26e99995bb173b7f254333c5cf8677e,0.1976585648653212,1794.502078789248,1841.0694098578333,0,recent_buyer
0xdc563cd745192b04c207085497431feb1fd41ae7,0.1961601015052973,1895.2552053078523,0.0,0,two_way
0xc0b23dc40a1466a6671080eec48362deb3d32ff1,0.19404,1807.197391561749,17666.748526729763,0,recent_buyer
0xd46f58a12d1c7e130c0f8f2d5bc9f83f2bf2bcaa,0.19404,1767.695865564233,20160.546765900137,0,recent_buyer
0xeba68f02e7af992b3870422d2ab64b316f20604c,0.1937458833720871,1904.424497300536,1953.3587404636849,0,recent_buyer
0x84ae7426eabe2fc0623273ca0e7f4dfbcdb7b846,0.19012,1815.9920495273152,968.6561074530408,0,recent_buyer
0x08b36fd2bd5390df9144216db48d44e1926a6499,0.1657200702610082,1552.967555610263,18210.88619317879,0,recent_buyer
0x96477abe876a3e5474e4913249da69e26e5e2728,0.164934,1710.8402954267715,22860.68733566913,0,two_way
0xcea5c73c5691ab5057a6833874f42055799dd474,0.164589048029378,1541.8664295290453,139.34401566704568,1,charter_owner
0xe7cb3d9f743caca99b087f903d780e54753262ff,0.1618304197792078,1520.6429033948534,0.0,0,recent_buyer
0xcf4e890f43b6fdccae192a414aa0b6247e19663e,0.1572043371543924,1448.3469465616977,0.0,0,two_way
0xef4e9abd2df4ebc520422fcace5dc5c000d02ec5,0.1547454499439187,1506.790868447162,0.0,0,two_way
0x82349f52536137c884b31589fd5d4ddb4626646f,0.1477098210995122,1375.8198806575665,1375.8198806575665,0,recent_buyer
0x7ab495075b3a93eeb5c5f2670c557f3a36fe128d,0.1214193543477851,1262.8263887140372,1262.8263887140372,0,recent_buyer
0x7492224c70e402d5891391f1d10ef96280ca060b,0.105571240354394,990.7518454870452,26076.69824889051,0,recent_buyer
0xf9cb8475a5bfe5acd46f734aebf0dd33b60c1060,0.097608,1012.1359070842486,1012.1359070842486,0,recent_buyer
0x67ff4f9ab75d73cc4abd1414089fecd8e27714ba,0.09702,1006.4613542297216,1006.4613542297216,0,recent_buyer
0xed0e290cee16acc5eba616af1557e658a6fd2a72,0.09702,873.4535616304556,7363.101794820104,0,recent_buyer
0x5ed35a54d2cfeb531c9070ed4dfc27c305344ada,0.09702,961.3534454795606,5416.312275031349,1,charter_owner
0xb19e4456e26181897aaf08e76f09691a27d8cf47,0.0912485459457964,854.3151834621201,605.2041015555857,0,two_way
0x116cda031c0f1c23954052e595ffac12f804307d,0.0881665343303157,809.8917125761718,2751.826084272851,0,two_way
0xbf6cc1f7b3cc58ff1be5211ca2db75c29e8fec7c,0.0871016151986438,817.550047821597,1131.9801214657668,0,two_way
0x5bf5016c2b921f0cd7e5ed93917184b69d35904e,0.0832377091940741,763.4156243961901,4962.700562585315,0,recent_buyer
0xed1ed6bed9736aeaf55d95686e2e8c05565fe747,0.08157250509809269,854.7864118825439,0.0,0,two_way
0xcef7e025740028a5b0f73b80177e7be8d06de535,0.0811842131083405,761.8512768015473,761.8512768015473,0,two_way
0xc1244cadede96da9f0e0d59f2c0d374679f7d094,0.0811113036904318,850.8415127804716,850.8415127804716,0,recent_buyer
0x65c55b53c252325649eb8607cb9f6121ea716937,0.0811078734123399,755.2822287125574,0.0,0,two_way
0xddd16ea81b895d84c59f5ac90edc478f172e8659,0.0810687453900582,754.8954958123097,10479.360751171642,0,recent_buyer
0x14078a75f65dc072fe76960aa2769157e443b1d1,0.077616,699.9751193174817,4414.338712036888,0,recent_buyer
0x154b9f869e8839195cabce575dcfb8afbd9f3117,0.0730941964427732,684.8566944006004,762.7939009157359,0,recent_buyer
0x7e7546959053ea2dd1e919a2c7b21eaf47d572e0,0.0729426469399888,710.3010752985157,1403.719693781889,0,recent_buyer
0x260879b14cf6ad61c81eab332eca9433a549f1e6,0.0607433275783148,638.4047172691799,638.4047172691799,0,recent_buyer
0x33634a42b2ebaecc7156bd9a4b463dd8f3fc6afb,0.0582855,562.7928680496169,562.7928680496169,0,recent_buyer
0xf493b17c72e8c68bad0f50fd453736fac08928eb,0.0532348562186718,498.86027322702046,571.7429741919303,0,recent_buyer
0x9b190752b3686b25b7c8ae2085bac073717615dc,0.0531865774139801,498.1872294050815,619.9392788649674,0,two_way
0xef730526582a5b6ace5506a6c16f960b29049f71,0.0522679687950323,541.8150521058088,541.8150521058088,0,recent_buyer
0x3d0049fb046bc0756911ebad4abca4e9e22ebcee,0.0513438171717937,478.10107899876346,478.10107899876346,0,recent_buyer
0x910d051607ecba7ec107beff6a114ba77233e087,0.0503546543713019,459.079798247537,0.0,0,two_way
0x80e490d44cbe4e465184b9ae9da4265198eb3fe1,0.0495816505922702,464.6487867489078,6183.554083214952,0,recent_buyer
0x81e81e1ba472adda6abe7593bd270d352e8e4bc4,0.049,510.12080843164495,1103.026842686308,0,recent_buyer
0xf83e1c0fbd0615913dc12be6bc2ad7b13cf0a055,0.0489999999999999,440.7284961301356,1440.82805421375,0,recent_buyer
0x0bb9f7c03eb9c1a31c25b3b7e61e2c503c30b81d,0.0488857126357062,508.4361199557633,3514.915955899423,0,recent_buyer
0xc6d2f12d30f51d4c6feae1b67c68ee5a42e2b342,0.0488775,445.6015272313567,0.0,0,two_way
0x1a5861a1d957e24eafb5d28111e593bd118f06c5,0.04851,469.9185523993638,469.9185523993638,0,recent_seller
0xdeda0aa0cd222ce330eaf88de0fec0ce4c832828,0.04851,454.57615649890687,454.57615649890687,0,recent_buyer
0x53426fb8d9f01b8419bdcd92b8266b3d733c490d,0.0443121073988574,409.5282497200591,2230.9311893855674,0,two_way
0x77de97911c6dce30ac6c345e0678bd19aaccc5f1,0.044269539999999996,459.8424613665462,919.0152170040368,0,recent_buyer
0x4be8ad83f082a1aed6a22b9331fada9f1c24a8c4,0.0441,392.56445204392287,33662.660923093965,0,recent_buyer
0x05960f84dcdcdaf5a5c70a6406bb9df42c279be5,0.0406149989975954,365.7011863901111,1097.361842879862,0,recent_buyer
0x170c5b69504eb7dde8a1a08e55b676738032273f,0.0405654739248575,420.1104363686559,420.1104363686559,0,recent_buyer
0x9cf3afdaf86be9ef464d1835bb24ce1ade3795f2,0.0405345268079855,424.6632356958883,837.5086685634828,0,recent_buyer
0x5c7e3ac0a34b892a3b999c07a2a3882fab83712a,0.0405189082428851,401.20948281544156,401.2095538459314,0,recent_buyer
0x84828e2bfd655fbfdeee464592d7b5edd9083323,0.0403551076029475,366.35463317896586,685.9236546129052,0,recent_buyer
0x9c5990741bb60b363aabc0f74632660b330d7f87,0.0396347611954944,413.4061443074573,2582.905501184552,0,recent_buyer
0xd9b19ae1ae4f3b30eb3fadddbf2328498316b980,0.0387151853241446,358.1621871597646,693.1671765132759,0,recent_buyer
0x0339fc776ce3828d07820f979b47d46026071dbd,0.035688438972421,371.1630994670936,208.18549946709365,0,recent_buyer
0x7d2993924016f5bd7c8c1e936e0b7119297f58fb,0.0353988367685509,324.65115488008826,1335.464666798822,0,recent_buyer
0x6f8adc605edf0da9f3970d12405e8e47e9ac7454,0.0304025594231312,264.0256491792856,264.0256491792856,0,recent_buyer
0x045336526854f9cfbd36c1b6afccae811405bd64,0.0302731472145074,284.105306304892,381.5990921522294,0,recent_buyer
0xe28f3ed9774960e86f6f594dbbc4c1529ab17a6f,0.029106,262.49687336108025,1016.2965978349404,0,recent_seller
0x8e6b35a59a00f02d58f2947aede22bbca097d9e4,0.0231838765973675,218.22896859288045,0.0,0,two_way
0xfd84958c76fa6332c79bfd0c34b9baae258a814b,0.0202525208922879,196.82388352261964,719.3002854896299,0,recent_buyer
0x5f4f198ba4c66f3a347a53682f5f851ebc6af1d8,0.0202248926678777,213.201350536658,1123.2049655635246,0,recent_buyer
0x9d7eadc9f830c76365ea2e402650a4f4314fcb62,0.0202040070712575,212.9843225534439,1367.6697149573793,0,recent_buyer
0x59c553e72416c7ea76f47be131c9ad794871391e,0.0201071065437662,174.60037119841934,8.925e-15,0,recent_buyer
0x7ae5333221a7dcd26eeb0194374ecd6d2be94479,0.01957648686,191.19745592994352,191.19745592994352,0,recent_buyer
0x90738366a044c13ea0a1393d1761d7625ed3f0a9,0.019536357327681497,182.2632298832844,3574.846335342213,0,two_way
0x3c523a57e98637938302a1114b0311e793636ddc,0.0195216,204.89098771829245,269.2844066595809,0,recent_buyer
0x17c485b4d433ab5aaa1f1cdde3715c7e8e6ed2c3,0.019404,204.54578355553548,573.2248108681026,0,recent_buyer
0xb179fa373c86fda3beb7adb2524758797c10c574,0.019404,201.0208187520192,201.0208187520192,0,two_way
0xd33558a492d4a413fb8ac118824af9e22a127fb7,0.019404,180.7432136556132,1082.014669231373,0,recent_buyer
0xae0cdcf6a4a1937f3aed006ddfdd2ccaf508afc4,0.0180443020199068,189.6678228012824,189.6678228012824,0,recent_buyer
0x587c07d5f6bcbf3ebc4c2773c119ed72870268ee,0.0177935139814369,167.01730213416505,196.76509782482705,0,recent_buyer
0x087b7a65193668f832dce7074e211d4a15ba10c6,0.016716105,161.99058784780578,14149.352475215446,0,recent_buyer
0x522d51b589ac495ab20a205bd32dcf5beb8d1d0f,0.0156440184260682,164.4394040185696,212.740601278577,0,recent_buyer
0x3f9f71d0edafedb92045e41137f4a57553ccbea0,0.0155232,151.16535025774,0.0,0,recent_buyer
0x1b36374d5a26c45726632162188f7162dcf39639,0.012355207577235,120.89142768047142,33.69529697376085,0,two_way
0x492f7c5357f1cac773ff204218b5c00dd6710584,0.0121381283198651,112.072690145392,153.27645077428133,0,recent_buyer
0x4ad44f94f1ef91d54ca62aa517c5fb098ebb1c3c,0.0119958643490007,112.59230922491447,142.4238114808484,0,recent_buyer
0x861fa17322fcb89de5fd7964e60589fdb59ca3be,0.011331786192248,106.22993559416648,152.34589059794035,0,recent_buyer
0xd92d735eda65497b12e827455e3cec9d03847a1a,0.0102113868162569,99.25723066026916,99.25723066026916,0,recent_buyer
0x2803c2df4cbfb581b03f5857ebc55c47f549d65a,0.010188055905115,105.69142474174156,0.029004199760817,0,recent_buyer
0x21d5996bbc760627d71f857f321249b61da96351,0.0098,87.31348950349154,87.31348950349154,0,recent_buyer
0x539d84b07c598672e3881b8a708c761b596d1cc6,0.0098,94.93448490136387,0.0,0,two_way
0xb85f0e5f8b72cf5c81d82f7fc6c35703f5d229ad,0.009702,95.29984737200652,95.29984737200652,0,two_way
0x1260ef190b554864c410326882178ccc6481cc10,0.009702,101.77569478955432,101.77569478955432,0,recent_buyer
0xcb3dfd813ade80200ca7ac932fff1417e3cb79a1,0.0090646046498302,83.79203992156857,111.9401370888069,0,recent_buyer
0x20f9a11d2668a675e2381151c709b1996de1da5e,0.008131561265123,85.71977530270797,532.2422258592384,0,recent_buyer
0xc9dfb7e76a4d14114643a46d5bf3616bf154c94b,0.0080588246824429,75.48410119070996,75.48410119070996,0,recent_buyer
0x8c3b9a8dc0ec1cedcdab6b87c97f469cd8ba74d0,0.00711173679455,65.51302625654401,1047.9937367081366,0,recent_buyer
0x1bbc0c1cfe4cfc510804739aa1aa697aeb851011,0.0070709537900432,65.34803149816688,2923.216231719185,0,recent_buyer
0x3d1797bf7d690342cdbfa2654a38a6b7206eb0ae,0.0070324292629606,64.07151699559942,64.07151699559942,0,recent_buyer
0x149f9e276e77cb13bc0fee312127122025455c49,0.00638265474,57.65565680303706,57.65565680303706,0,recent_buyer
0x4933228adcedc76e1f726d113cf0bef24ba55504,0.0061228209960787,57.015719494042,0.0,0,two_way
0x8c7d734e2d28c08b7286a46f0b151e791d3abecf,0.0058212,54.87658675673084,54.87658675673084,0,recent_buyer
0xa6d2209d2237d785ad2078cef30c251045c2d482,0.0056910326505773,59.994803616204806,0.0,0,recent_buyer
0xe1b075e6d987aa31d7a62be014d83356fbab1771,0.004851,50.82251962263155,888.0856948139626,0,recent_buyer
0x73617259d94b37a4d069989daa37162ed28f27fc,0.004851,44.69670054483769,195.15332147241853,0,recent_buyer
0x78bb46a3359bcd6cac3455c95b16eea928e185aa,0.0044450570163463,41.653051723963145,5706.415288460672,0,recent_buyer
0xbdedc063f61566c3085dd858a1078df09a26aee0,0.002042807234039,19.174732815445992,0.0,0,two_way
0xbabba65772e591b7b399bfa8f3c405a36577a68f,0.0017199,16.117038716041844,8.058519358020922,0,two_way
0x3031b8e1400072af0ce02e3aea0a0efd0ad51caa,0.0012234873387248,12.706827897191694,27.014455468608773,0,recent_buyer
0x19bb294144222e0eeb3f8235f6ebd31a43be41a5,0.001215455838065,11.073877678265486,25.55969062750404,0,recent_buyer
0x24038f9a346eec36ad49b9ae66c2ac22f21a9e88,0.00097755,9.04360856389403,9.04360856389403,0,recent_buyer
0x53a4523b19f409e2d256b18b7d2797941a59f191,0.0005140162744712,5.332577439923733,0.0,0,recent_buyer
0x2cffed5d56eb6a17662756ca0fdf350e732c9818,0.000154691444447,1.6259974723256687,50.70256601600542,0,recent_buyer
0x48a097df16c7844a33b1c3d11ab353457846e13f,6.508909539009976e-05,0.6752561327349192,420.6416498330566,0,recent_buyer
0xcd6b980029e6e6e0733ac8ec3e02be9410d09799,4.434499999999999e-05,0.4286571338639092,433.0233071299364,0,recent_buyer
