hour,event,charter,count,price_tokens,funding,eth,inventory_tokens,gross_tokens,resolution_fee,net_eth
112.0,license,790,1,6939.645433531948,wallet/cash,1.1555257687791276,0.0,,,
112.0,license,776,1,6939.645433531948,wallet/cash,1.1561335667778108,0.0,,,
112.0,license,235,1,6939.645433531948,wallet/cash,1.1567418444497157,0.0,,,
112.0,license,833,1,6939.645433531948,wallet/cash,1.1573506022980762,0.0,,,
112.0,license,625,1,6939.645433531948,wallet/cash,1.157959840828677,0.0,,,
112.0,license,953,1,6939.645433531948,wallet/cash,1.158569560547814,0.0,,,
112.0,license,40,1,6939.645433531948,wallet/cash,1.159179761963314,0.0,,,
112.0,license,350,1,6939.645433531948,wallet/cash,1.1597904455804513,0.0,,,
112.0,license,298,1,6939.645433531948,wallet/cash,1.1604016119101153,0.0,,,
112.0,license,526,1,6939.645433531948,wallet/cash,1.1610132614591122,0.0,,,
112.0,license,271,1,6939.645433531948,wallet/cash,1.1616253947393511,0.0,,,
112.0,license,73,1,6939.645433531948,wallet/cash,1.1622380122576383,0.0,,,
112.0,license,621,1,6939.645433531948,wallet/cash,1.1628511145263942,0.0,,,
112.0,license,474,1,6939.645433531948,wallet/cash,1.1634647020590596,0.0,,,
112.0,license,33,1,6939.645433531948,wallet/cash,1.1640787753655024,0.0,,,
112.0,license,56,1,6939.645433531948,wallet/cash,1.164693334959674,0.0,,,
112.0,license,776,1,6939.645433531948,wallet/cash,1.1653083813550156,0.0,,,
112.0,license,235,1,6939.645433531948,wallet/cash,1.1659239150654779,0.0,,,
112.0,license,833,1,6939.645433531948,wallet/cash,1.1665399366060336,0.0,,,
112.0,license,625,1,6939.645433531948,wallet/cash,1.1671564464936959,0.0,,,
112.0,license,953,1,6939.645433531948,wallet/cash,1.1677734452419055,0.0,,,
112.0,license,40,1,6939.645433531948,wallet/cash,1.1683909333707385,0.0,,,
112.0,license,350,1,6939.645433531948,wallet/cash,1.1690089113956774,0.0,,,
112.0,license,298,1,6939.645433531948,wallet/cash,1.1696273798367975,0.0,,,
112.0,license,526,1,6939.645433531948,wallet/cash,1.1702463392121338,0.0,,,
112.0,license,271,1,6939.645433531948,wallet/cash,1.1708657900407407,0.0,,,
112.0,license,73,1,6939.645433531948,wallet/cash,1.1714857328442254,0.0,,,
112.0,license,621,1,6939.645433531948,wallet/cash,1.1721061681431746,0.0,,,
112.0,license,474,1,6939.645433531948,wallet/cash,1.172727096460215,0.0,,,
112.0,license,33,1,6939.645433531948,wallet/cash,1.1733485183159338,0.0,,,
112.0,license,56,1,6939.645433531948,wallet/cash,1.1739704342365305,0.0,,,
113.0,license,807,1,5985.217201149039,ledger,0.0,0.0,,,
113.0,license,826,1,5985.217201149039,wallet/cash,1.00182252167435,0.0,,,
113.0,license,643,1,5985.217201149039,ledger,0.0,0.0,,,
113.0,license,117,1,5985.217201149039,wallet/cash,1.0022781640874514,0.0,,,
113.0,license,403,1,5985.217201149039,wallet/cash,1.0027341174165738,0.0,,,
113.0,license,467,1,5985.217201149039,wallet/cash,1.0031903819505912,0.0,,,
113.0,license,164,1,5985.217201149039,wallet/cash,1.0036469579681702,0.0,,,
113.0,license,362,1,5985.217201149039,wallet/cash,1.0041038457561438,0.0,,,
113.0,license,9,1,5985.217201149039,wallet/cash,1.0045610455962408,0.0,,,
113.0,license,370,1,5985.217201149039,wallet/cash,1.0050185577727422,0.0,,,
113.0,license,868,1,5985.217201149039,wallet/cash,1.0054763825729913,0.0,,,
113.0,license,826,1,5985.217201149039,wallet/cash,1.0059345202776961,0.0,,,
113.0,license,117,1,5985.217201149039,wallet/cash,1.0063929711762414,0.0,,,
113.0,license,403,1,5985.217201149039,wallet/cash,1.0068517355498459,0.0,,,
113.0,license,467,1,5985.217201149039,wallet/cash,1.007310813689425,0.0,,,
113.0,license,164,1,5985.217201149039,wallet/cash,1.0077702058756877,0.0,,,
113.0,license,362,1,5985.217201149039,wallet/cash,1.0082299124000595,0.0,,,
113.0,license,9,1,5985.217201149039,wallet/cash,1.0086899335458008,0.0,,,
113.0,license,370,1,5985.217201149039,wallet/cash,1.009150269601786,0.0,,,
114.0,license,479,1,5182.641921921313,ledger,0.0,0.0,,,
114.0,license,304,1,5182.641921921313,ledger,0.0,0.0,,,
114.0,license,286,1,5182.641921921313,ledger,0.0,0.0,,,
114.0,license,236,1,5182.641921921313,ledger,0.0,0.0,,,
114.0,license,576,1,5182.641921921313,ledger,0.0,0.0,,,
114.0,license,818,1,5182.641921921313,ledger,0.0,0.0,,,
114.0,license,799,1,5182.641921921313,ledger,0.0,0.0,,,
114.0,license,204,1,5182.641921921313,ledger,0.0,0.0,,,
114.0,license,106,1,5182.641921921313,ledger,0.0,0.0,,,
114.0,license,886,1,5182.641921921313,ledger,0.0,0.0,,,
114.0,license,977,1,5182.641921921313,ledger,0.0,0.0,,,
114.0,license,766,1,5182.641921921313,ledger,0.0,0.0,,,
114.0,license,927,1,5182.641921921313,ledger,0.0,0.0,,,
114.0,license,116,1,5182.641921921313,ledger,0.0,0.0,,,
114.0,license,399,1,5182.641921921313,ledger,0.0,0.0,,,
114.0,license,900,1,5182.641921921313,ledger,0.0,0.0,,,
114.0,license,691,1,5182.641921921313,ledger,0.0,0.0,,,
114.0,license,627,1,5182.641921921313,ledger,0.0,0.0,,,
114.0,license,155,1,5182.641921921313,ledger,0.0,0.0,,,
114.0,license,131,1,5182.641921921313,ledger,0.0,0.0,,,
114.0,license,213,1,5182.641921921313,ledger,0.0,0.0,,,
114.0,license,121,1,5182.641921921313,ledger,0.0,0.0,,,
114.0,license,588,1,5182.641921921313,ledger,0.0,0.0,,,
114.0,license,19,1,5182.641921921313,ledger,0.0,0.0,,,
114.0,license,868,1,5182.641921921313,wallet/cash,0.8649092153255878,0.0,,,
114.0,license,828,1,5182.641921921313,wallet/cash,0.8652493174405922,0.0,,,
114.0,license,887,1,5182.641921921313,wallet/cash,0.8655896201981917,0.0,,,
114.0,license,929,1,5182.641921921313,wallet/cash,0.8659301237576248,0.0,,,
114.0,license,574,1,5182.641921921313,wallet/cash,0.8662708282760875,0.0,,,
122.0,retire,57,1,,,,,2537.23562439711,0.0380230414200595,0.30013317734328665
123.0,retire,57,1,,,,,2555.6350800012306,0.038549414477484834,0.2988667483911286
125.0,retire,774,1,,,,,2592.4571935494514,0.03909111242683821,0.2962761234910431
125.0,retire,867,1,,,,,2742.0196427483666,0.03967254548115558,0.3131219928374776
126.0,retire,867,1,,,,,2760.453945806283,0.040266697255802564,0.31155712221939214
126.0,retire,774,1,,,,,2610.8914966073676,0.0408367915804318,0.294448102956585
127.0,retire,867,1,,,,,2778.911553924955,0.041452260597265214,0.30978936089186393
127.0,retire,920,1,,,,,2774.2135225613674,0.04207562432311991,0.30900664793698523
127.0,retire,260,1,,,,,2629.3491047260395,0.042674677675956174,0.2926344468702155
128.0,retire,654,1,,,,,3497.3384897764845,0.043483915655878114,0.3844916170207398
128.0,retire,47,1,,,,,2647.8417811311942,0.04410602875608467,0.2908502329419207
128.0,retire,260,1,,,,,2647.8417811311942,0.0447362746929648,0.2906070285384885
128.0,retire,920,2,,,,,5585.412397933044,0.046092400499903194,0.6119740637635005
128.0,retire,570,1,,,,,2647.8417811311942,0.04674793484789893,0.2898357859819498
129.0,retire,47,1,,,,,2666.404995399306,0.047416283509853954,0.28840537710229913
129.0,retire,313,1,,,,,2666.404995399306,0.04809287944190439,0.2881496525850253
129.0,retire,838,1,,,,,2666.404995399306,0.04877772264405025,0.28789155411263895
129.0,retire,695,1,,,,,2666.404995399306,0.04947081311629151,0.28763108330463183
129.0,retire,654,1,,,,,3515.901704044596,0.05039732413628649,0.378821173756387
129.0,retire,452,1,,,,,2666.404995399306,0.05110953666734888,0.2870180475366397
129.0,retire,353,1,,,,,2666.404995399306,0.05182999646850668,0.2867497154599278
129.0,retire,920,1,,,,,2811.269413234634,0.05259853002842922,0.3020291405739499
129.0,retire,167,1,,,,,2666.404995399306,0.05333593243973837,0.28619105489738106
129.0,retire,72,2,,,,,6233.033222180325,0.05509186962157098,0.6675689615293322
129.0,retire,570,1,,,,,2666.404995399306,0.05585679826044286,0.2852622254226844
129.0,retire,979,2,,,,,6236.150032674251,0.05767800271609863,0.6656862143245235
129.0,retire,359,1,,,,,4187.432621037133,0.05892621587065948,0.44624887516133643
129.0,retire,519,1,,,,,2666.404995399306,0.059731632231341855,0.2838483293559875
130.0,retire,104,1,,,,,3136.1165940902715,0.0606894845246435,0.32983708462793404
130.0,retire,447,1,,,,,3136.1165940902715,0.061658745681603525,0.329429746172309
130.0,retire,262,1,,,,,2685.158968452446,0.062497698020023154,0.2817541229876042
130.0,retire,614,1,,,,,3136.1165940902715,0.06348813636769612,0.3286636298629219
130.0,retire,835,2,,,,,6269.036921613958,0.06550220115601497,0.6553803753995908
130.0,retire,244,1,,,,,3136.1165940902715,0.06652685446698021,0.3273984856907646
130.0,retire,185,1,,,,,3136.1165940902715,0.06756291664160384,0.3269690770358011
130.0,retire,882,1,,,,,3136.1165940902715,0.06861038767988589,0.32653590886889106
130.0,retire,984,1,,,,,3136.1165940902715,0.06966926758182634,0.3260989840250659
130.0,retire,200,1,,,,,3136.1165940902715,0.0707395563474252,0.325658305325851
130.0,retire,959,1,,,,,3136.1165940902715,0.07182125397668244,0.3252138755866327
130.0,retire,299,1,,,,,3136.1165940902715,0.07291436046959812,0.3247656976064263
130.0,retire,655,1,,,,,3136.1165940902715,0.07401887582617218,0.3243137741752435
130.0,retire,24,1,,,,,3136.1165940902715,0.07513480004640465,0.32385810807409143
130.0,retire,846,1,,,,,2685.158968452446,0.07609932604507298,0.2769483880119424
130.0,retire,313,1,,,,,2685.158968452446,0.07707221573501692,0.27660945965085376
130.0,retire,7,1,,,,,3136.1165940902715,0.07821908547301687,0.3226033232413556
130.0,retire,573,1,,,,,3136.1165940902715,0.07937736407467522,0.3221337869346371
130.0,retire,580,1,,,,,3136.1165940902715,0.08054705153999198,0.32166052089505687
130.0,retire,88,1,,,,,3136.1165940902715,0.08172814786896714,0.32118352783281806
130.0,retire,499,1,,,,,3136.1165940902715,0.0829206530616007,0.3207028104487108
130.0,retire,685,1,,,,,3136.1165940902715,0.08412456711789264,0.3202183714312469
130.0,retire,520,1,,,,,3136.1165940902715,0.08533989003784304,0.3197302134558413
130.0,retire,535,1,,,,,3136.1165940902715,0.08656662182145182,0.31923833918563105
130.0,retire,812,1,,,,,3136.1165940902715,0.08780476246871897,0.31874275127311197
130.0,retire,506,1,,,,,3136.1165940902715,0.08905431197964457,0.3182434523556367
130.0,retire,700,1,,,,,3134.5777237927578,0.0903146488130952,0.317584764343701
130.0,retire,351,1,,,,,3136.1165940902715,0.09158701045308866,0.3172339815326723
130.0,retire,436,1,,,,,3136.1165940902715,0.09287078095674052,0.3167235671302933
130.0,retire,838,1,,,,,2685.158968452446,0.09397901779641975,0.2707998179388142
130.0,retire,786,2,,,,,4847.373647677439,0.09600083593733888,0.4876550794860123
130.0,retire,946,1,,,,,3136.1165940902715,0.09732341786926735,0.31495954599909054
130.0,retire,265,1,,,,,2672.7476209347155,0.0984595899181505,0.2680372897571033
130.0,retire,904,1,,,,,3136.1165940902715,0.09980330388960973,0.3139810778644915
130.0,retire,315,1,,,,,3136.1165940902715,0.1011584267247274,0.31344756163384774
