charter,branches,balance,cash,wallet_tokens,withdrawal_cash,external_spend
548,0,0.0,3.1781642777198664,0.0,4.8237538873258385,3.6475916116079743
549,0,0.0,12.775068507023246,0.0,10.796362992531003,0.023296487509759482
550,3,12111.836335807628,0.018724203741168788,0.0,3.3066892548884605,5.289967053149294
551,5,13243.969163025806,0.023316076314718243,0.0,5.263713703281291,7.242399628968576
552,2,10750.559463662528,0.07029460407591892,0.0,3.9446277614331846,5.876335159359267
553,4,11148.029942441737,0.0011884648446370688,0.0,3.830934474449987,5.831748011607353
554,2,11315.71140012308,0.07456698175637166,0.0,2.0981098990138887,4.02554491925952
555,2,10750.559463662528,0.08218534362972513,0.0,3.2501829784532488,5.169999636825525
556,3,10567.678885341495,0.0019224873178943641,0.0,3.78036392965877,5.780443444342878
557,0,0.0,2.942578989284248,0.0,2.3494383661326266,1.4088613788503805
558,5,13150.897182929226,0.006671722807707003,0.0,3.462328121888695,5.457658401082989
559,2,11291.928831986123,0.052774303941674816,0.0,1.8263248098882467,3.7755525079485737
560,2,10262.182722044156,0.05013172704512936,0.0,4.773206818420439,6.725077093377314
561,0,0.0,3.2960871626016424,0.0,5.02729536478454,3.7332102041849002
562,3,10944.910902010111,0.008482996826782635,0.0,2.981862350358997,4.975381355534217
563,0,0.0,1.3811822387102872,0.0,1.1180848470979754,1.7389046103896904
564,3,11152.485959142941,0.05122332307349853,0.0,3.474867486822741,5.425646165751244
565,2,10772.812775755207,0.02744556295501413,0.0,1.969736685344187,3.9442931243911756
566,0,0.0,2.9910660527439337,0.0,2.2168937823401027,1.227829731598171
567,2,11291.928831986123,0.04451927288351579,135.12399891156565,1.8506141825416853,3.8080969116601713
568,2,9801.558540092488,0.052462288071593255,0.0,4.004133790192291,5.953673504122699
569,3,11029.23397590027,0.0009810489386347654,0.0,3.134420445501892,5.135441398565258
570,0,0.0,1.458522596645671,0.0,1.4462563442682586,1.9897357496245898
571,0,0.0,3.1861980288320177,0.0,5.015638394682391,3.831442367852376
