hour,price,price_ratio,pool_principal_eth,wallet_100k_exit_eth,vault_eth,pending,branches,outside_pool_token_bound,eth_error,token_error,total_buy_spend_eth,speculative_buy_eth,pool_buy_principal_eth,pool_sell_eth,buyback_eth,license_buy_eth,licenses,gross_withdrawn,net_withdrawn_tokens,unsold_requested_tokens,buy_tax_eth,lp_buy_eth,elapsed_days,timestamp_utc,scenario
21.75,9.022444141348421e-05,0.7882290968679433,2036.4235991666017,8.638804234629417,111.7189937774005,1960376.0766660268,1099,64073939.31655662,1.0686562745831907e-11,5.960464477539063e-08,764.1459623839503,764.1459623839503,741.3744127049076,1129.7085289495926,0.0,0.0,0,0.0,0.0,0.0,15.28291924767897,7.488630431362709,0.90625,2026-09-16 20:30:58 UTC,Selling halves every 6h
22.0,9.056563173230087e-05,0.7912098428016139,2042.151255558752,8.671424391394359,111.7189937774005,1967667.7433326936,1099,64136990.61619089,1.0686562745831907e-11,5.960464477539063e-08,772.9292493079038,772.9292493079038,749.8959576785272,1132.502417531062,0.0,0.0,0,0.0,0.0,0.0,15.458584986158039,7.574706643217453,0.9166666666666666,2026-09-16 20:45:58 UTC,Selling halves every 6h
22.25,9.091160187904252e-05,0.7942323468153509,2047.9481461193702,8.704501255987134,111.7189937774005,1974959.4099993603,1099,64200573.86743097,1.0913936421275139e-11,4.470348358154297e-08,781.7125362318573,781.7125362318573,758.4175026521468,1135.2270719440635,0.0,0.0,0,0.0,0.0,0.0,15.634250724637107,7.660782855072196,0.9270833333333334,2026-09-16 21:00:58 UTC,Selling halves every 6h
22.5,9.126226681171516e-05,0.7972958659555481,2053.812455196558,8.73802668696955,111.7189937774005,1982251.076666027,1099,64264661.588749535,1.0913936421275139e-11,5.960464477539063e-08,790.4958231558107,790.4958231558107,766.9390476257664,1137.8843078404952,0.0,0.0,0,0.0,0.0,0.0,15.809916463116176,7.74685906692694,0.9375,2026-09-16 21:15:58 UTC,Selling halves every 6h
22.75,9.161754413720382e-05,0.8003996804100395,2059.7424207033755,8.771992796309155,111.7189937774005,1989542.7433326938,1099,64329227.18506691,1.0913936421275139e-11,5.960464477539063e-08,799.2791100797642,799.2791100797642,775.460592599386,1140.4758873072974,0.0,0.0,0,0.0,0.0,0.0,15.985582201595244,7.832935278781684,0.9479166666666666,2026-09-16 21:30:58 UTC,Selling halves every 6h
23.0,9.197735400512167e-05,0.8035430925807319,2065.7363322213505,8.806391939228975,111.7189937774005,1996834.4099993606,1099,64394244.92138374,1.0913936421275139e-11,5.960464477539063e-08,808.0623970037177,808.0623970037177,783.9821375730056,1143.0035207629421,0.0,0.0,0,0.0,0.0,0.0,16.161247940074315,7.919011490636428,0.9583333333333334,2026-09-16 21:45:58 UTC,Selling halves every 6h
23.25,9.234161900689322e-05,0.8067254262019636,2071.792529186366,8.841216704557674,111.7189937774005,2004126.0766660273,1099,64459689.897166654,1.1141310096718371e-11,4.470348358154297e-08,816.8456839276712,816.8456839276712,792.5036825466252,1145.468868771546,0.0,0.0,0,0.0,0.0,0.0,16.336913678553383,8.00508770249117,0.96875,2026-09-16 22:00:58 UTC,Selling halves every 6h
23.5,9.27102640797738e-05,0.8099460255019894,2077.9093991526724,8.876459905552151,111.7189937774005,2011417.743332694,1099,64525538.02146662,1.1823431123048067e-11,5.960464477539063e-08,825.6289708516247,825.6289708516247,801.0252275202448,1147.87354377886,0.0,0.0,0,0.0,0.0,0.0,16.512579417032452,8.091163914345914,0.9791666666666666,2026-09-16 22:15:58 UTC,Selling halves every 6h
23.75,9.308321641552592e-05,0.8132042544051472,2084.0853761310045,8.91211457116212,111.7189937774005,2018709.4099993608,1099,64591765.988750085,1.1823431123048067e-11,5.960464477539063e-08,834.4122577755782,834.4122577755782,809.5467724938644,1150.2191117741477,0.0,0.0,0,0.0,0.0,0.0,16.68824515551152,8.177240126200658,0.9895833333333334,2026-09-16 22:30:58 UTC,Selling halves every 6h
24.0,9.346039314261447e-05,0.8164993889196422,2090.3189394389497,8.948173787691958,111.7189937774005,2026001.0766660275,1099,64658351.26184513,1.1823431123048067e-11,5.960464477539063e-08,843.1955446995316,843.1955446995316,818.068317467484,1152.5070934398223,0.0,0.0,0,0.0,0.0,0.0,16.86391089399059,8.263316338055402,1.0,2026-09-16 22:45:58 UTC,Selling halves every 6h
24.25,9.384171817594933e-05,0.8198307643421977,2096.608611595936,8.984629463742198,111.7189937774005,2033292.7433326943,1099,64725272.05635238,1.2050804798491299e-11,5.960464477539063e-08,851.9788316234851,851.9788316234851,826.5898624411036,1154.7389662564556,0.0,0.0,0,0.0,0.0,0.0,17.039576632469657,8.349392549910146,1.0104166666666667,2026-09-16 23:00:58 UTC,Selling halves every 6h
24.5,9.422714435854429e-05,0.8231979686945505,2102.952956662499,9.02147566039207,111.7189937774005,2040584.409999361,1099,64792507.28894289,1.1823431123048067e-11,5.960464477539063e-08,860.7621185474386,860.7621185474386,835.1114074147232,1156.9161661635117,0.0,0.0,0,0.0,0.0,0.0,17.215242370948726,8.43546876176489,1.0208333333333333,2026-09-16 23:15:58 UTC,Selling halves every 6h
24.75,9.461660707329402e-05,0.8266004374613457,2109.350579178141,9.058707390962244,111.7189937774005,2047876.0766660278,1099,64860036.567495614,1.1823431123048067e-11,5.960464477539063e-08,869.5454054713921,869.5454054713921,843.6329523883428,1159.0400886214898,0.0,0.0,0,0.0,0.0,0.0,17.390908109427794,8.521544973619633,1.03125,2026-09-16 23:30:58 UTC,Selling halves every 6h
25.0,9.501004356218131e-05,0.8300376223688066,2115.80012281761,9.096318654305279,111.7189937774005,2055167.7433326945,1099,64927840.17448435,1.1823431123048067e-11,7.450580596923828e-08,878.3286923953456,878.3286923953456,852.1544973619624,1161.1120899556404,0.0,0.0,0,0.0,0.0,0.0,17.566573847906863,8.607621185474377,1.0416666666666667,2026-09-16 23:45:58 UTC,Selling halves every 6h
25.25,9.540739285794752e-05,0.8335089907877871,2122.300269101691,9.134303612294197,111.7189937774005,2062459.4099993613,1099,64995899.046696514,1.2050804798491299e-11,5.960464477539063e-08,887.111979319299,887.111979319299,860.676042335582,1163.133488645179,0.0,0.0,0,0.0,0.0,0.0,17.74223958638593,8.693697397329121,1.0520833333333333,2026-09-17 00:00:58 UTC,Selling halves every 6h
25.5,9.580859571889776e-05,0.837014025164208,2128.8497361598456,9.172656591909814,111.7189937774005,2069751.076666028,1099,65064194.755538955,1.2278178473934531e-11,7.450580596923828e-08,895.8952662432525,895.8952662432525,869.1975873092016,1165.105566560644,0.0,0.0,0,0.0,0.0,0.0,17.917905324865,8.779773609183865,1.0625,2026-09-17 00:15:58 UTC,Selling halves every 6h
25.75,9.621359456667321e-05,0.8405522224754178,2135.4472775422155,9.21137207929109,111.7189937774005,2077042.7433326948,1099,65132709.4879144,1.2278178473934531e-11,5.960464477539063e-08,904.678553167206,904.678553167206,877.7191322828212,1167.029570151894,0.0,0.0,0,0.0,0.0,0.0,18.09357106334407,8.865849821038609,1.0729166666666667,2026-09-17 00:30:58 UTC,Selling halves every 6h
26.0,9.662233342683291e-05,0.8441230937110956,2142.0916810786107,9.250444714052401,111.7189937774005,2084334.4099993615,1099,65201426.02765279,1.2278178473934531e-11,5.960464477539063e-08,913.4618400911595,913.4618400911595,886.2406772564408,1168.9067115891185,0.0,0.0,0,0.0,0.0,0.0,18.269236801823137,8.951926032893352,1.0833333333333333,2026-09-17 00:45:58 UTC,Selling halves every 6h
26.25,9.703475787622057e-05,0.8477261634134314,2148.781767849084,9.289869284246096,111.7189937774005,2091626.0766660282,1099,65270327.73817076,1.2505552149377763e-11,5.960464477539063e-08,922.245127015113,922.245127015113,894.7622222300604,1170.7381697922647,0.0,0.0,0,0.0,0.0,0.0,18.444902540302206,9.038002244748096,1.09375,2026-09-17 01:00:58 UTC,Selling halves every 6h
26.5,9.745040566565231e-05,0.8513573932281718,2155.516399633928,9.329629979928214,111.7189937774005,2098917.7433326948,1099,65339398.74707551,1.2732925824820995e-11,5.960464477539063e-08,931.0284139390665,931.0284139390665,903.28376720368,1172.5250829810407,0.0,0.0,0,0.0,0.0,0.0,18.620568278781274,9.12407845660284,1.1041666666666667,2026-09-17 01:15:58 UTC,Selling halves every 6h
26.75,9.786952025596488e-05,0.8550189101057579,2162.294461043113,9.36970064465047,111.7189937774005,2106209.4099993613,1099,65408623.772928506,1.2732925824820995e-11,5.960464477539063e-08,939.81170086302,939.81170086302,911.8053121772996,1174.268566545475,0.0,0.0,0,0.0,0.0,0.0,18.796234017260343,9.210154668457584,1.1145833333333333,2026-09-17 01:30:58 UTC,Selling halves every 6h
27.0,9.829216089534837e-05,0.8587112316570128,2169.114866043467,9.41010084669038,111.7189937774005,2113501.076666028,1099,65477987.81692366,1.2732925824820995e-11,7.450580596923828e-08,948.5949877869734,948.5949877869734,920.3268571509192,1175.969706518741,0.0,0.0,0,0.0,0.0,0.0,18.97189975573941,9.296230880312327,1.125,2026-09-17 01:45:58 UTC,Selling halves every 6h
27.25,9.871827884373483e-05,0.8624339320733734,2175.976557821951,9.450833040994935,111.7189937774005,2120792.7433326943,1099,65547476.38381405,1.2960299500264227e-11,7.450580596923828e-08,957.3782747109269,957.3782747109269,928.8484021245388,1177.629559713877,0.0,0.0,0,0.0,0.0,0.0,19.14756549421848,9.382307092167071,1.1354166666666667,2026-09-17 02:00:58 UTC,Selling halves every 6h
27.5,9.91478249489498e-05,0.8661865819459847,2182.878507933523,9.491892675502408,111.7189937774005,2128084.409999361,1099,65617075.47520598,1.318767317570746e-11,5.960464477539063e-08,966.1615616348804,966.1615616348804,937.3699470981584,1179.2491545759244,0.0,0.0,0,0.0,0.0,0.0,19.323231232697548,9.468383304021815,1.1458333333333333,2026-09-17 02:15:58 UTC,Selling halves every 6h
27.75,9.958074475763915e-05,0.8699687055532188,2189.819715465535,9.533274834502404,111.7189937774005,2135376.0766660273,1099,65686771.57974315,1.318767317570746e-11,5.960464477539063e-08,974.9448485588339,974.9448485588339,945.891492071778,1180.8294920175322,0.0,0.0,0,0.0,0.0,0.0,19.498896971176617,9.554459515876559,1.15625,2026-09-17 02:30:58 UTC,Selling halves every 6h
28.0,0.00010001700316830184,0.8737799962373228,2196.7992059757303,9.57497512553069,111.7189937774005,2142667.743332694,1099,65756551.64901394,1.318767317570746e-11,7.450580596923828e-08,983.7281354827874,983.7281354827874,954.4130370453976,1182.3715464809566,0.0,0.0,0,0.0,0.0,0.0,19.674562709655685,9.640535727731303,1.1666666666666667,2026-09-17 02:45:58 UTC,Selling halves every 6h
